season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_FLD%,fielding_CI,fielding_PB,fielding_SBA,fielding_CS,fielding_DP,fielding_TP,fielding_SB%
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7332200,29,Carter Sells,,,Jr,P,6-2,R/R,14942,19,0,1.0,,2,1.0,0.5,,,4.0,1.0,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7332870,10,Bryson Hill,,,Jr,INF,6-0,L/R,14942,54,53,34.0,68.0,114,12.0,0.895,,,,,7.0,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7337724,16,Adam Stephenson,,,Jr,P,6-1,L/L,14942,15,12,4.0,6.0,10,,1.0,,,3.0,2.0,1.0,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7338328,45,Max Huffing,,,So,P,6-9,L/L,14942,19,3,2.0,3.0,6,1.0,0.833,,,7.0,1.0,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7338935,14,Austin Glaze,,,So,P,6-1,R/R,14942,7,2,,,0,,,,,3.0,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7340044,22,Grayson Tatrow,,,Jr,OF,6-4,L/R,14942,59,59,106.0,,108,2.0,0.981,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7341941,2,Brett Hammit,,,So,INF,6-3,R/R,14942,47,40,47.0,87.0,136,2.0,0.985,,,,,14.0,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7342020,3,Mitchell Dickson,,,Jr,C,6-4,R/R,14942,58,58,269.0,73.0,347,5.0,0.986,,7.0,39.0,9.0,5.0,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7345008,1,Bash Randle,,,So,INF,5-10,R/R,14942,57,55,85.0,138.0,229,6.0,0.974,,,,,20.0,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7345557,12,Miller Ladusau,,,So,OF,6-3,L/R,14942,52,52,75.0,,79,4.0,0.949,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7354758,28,Cinoon Bak,,,Fr,P,6-0,R/R,14942,3,0,,,0,,,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7357146,21,Tyler Morgan,,,So,P,6-0,R/R,14942,16,16,3.0,6.0,12,3.0,0.75,,,8.0,7.0,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7357849,39,Connor Carlton,,,Jr,P,6-1,L/L,14942,19,1,,2.0,2,,1.0,,,5.0,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7540144,8,Colton Eager,,,Sr,OF,6-1,L/L,14942,59,59,108.0,5.0,114,1.0,0.991,,,,,1.0,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7540154,24,Garrett Egli,,,Sr,P,6-4,R/R,14942,10,3,4.0,1.0,5,,1.0,,,2.0,1.0,1.0,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7540155,44,Sam Grace,,,Jr,P,6-4,R/R,14942,9,0,,2.0,2,,1.0,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7540156,9,Hunter Gieser,,,Sr,INF,6-3,R/R,14942,55,53,397.0,21.0,421,3.0,0.993,,,,,32.0,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7577745,6,Alexei Cazarin,,,Sr,INF,5-8,R/R,14942,36,11,10.0,21.0,32,1.0,0.969,,,,,4.0,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7577746,7,Genner Cervantes,,,Sr,P,6-0,R/R,14942,15,13,2.0,7.0,11,2.0,0.818,,,4.0,,1.0,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7577747,23,Tommy Cruz,,,Sr,INF,5-8,R/R,14942,32,25,31.0,,31,,1.0,,,,,2.0,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7577748,0,Trevor Jackson,,,Sr,P,6-2,R/R,14942,14,0,,1.0,1,,1.0,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7577760,11,Tanner Riley,,,Sr,P,6-0,R/R,14942,20,1,1.0,3.0,6,2.0,0.667,,,7.0,,1.0,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7577761,19,Zach Smith,,,Jr,P,5-10,R/R,14942,6,0,,1.0,1,,1.0,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7577777,27,Sam Berberich,,,So,P,5-11,R/L,14942,22,2,2.0,4.0,7,1.0,0.857,,,2.0,1.0,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7577778,18,Drake Boggan,,,So,P,6-0,R/R,14942,16,0,1.0,3.0,4,,1.0,,,2.0,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7577801,15,Riley Bauman,,,So,P,6-0,R/R,14942,4,1,1.0,1.0,2,,1.0,,,1.0,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7577803,5,Riley Bender,,,Fr,INF,6-3,R/R,14942,8,2,1.0,2.0,3,,1.0,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7577809,37,Adam Byrd,,,Fr,P,5-11,R/L,14942,21,0,1.0,3.0,5,1.0,0.8,,,4.0,1.0,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7577810,17,Breck Eichelberger,,,Jr,P,6-4,R/R,14942,5,5,1.0,2.0,3,,1.0,,,1.0,1.0,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7577811,38,Bryson Gillmore,,,Fr,C,5-8,R/R,14942,3,0,6.0,,6,,1.0,,,,,,,
