season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_FLD%,fielding_CI,fielding_PB,fielding_SBA,fielding_CS,fielding_DP,fielding_TP,fielding_SB%
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,7824296,19,Zach Smith,,,Sr,P,5-10,R/R,15002,26,0,2.0,2.0,4,,1.0,,,2.0,2.0,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,7824297,21,Tyler Morgan,,,Jr,P,6-0,R/R,15002,16,14,3.0,5.0,8,,1.0,,,9.0,2.0,,,2.0
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,7824300,16,Adam Stephenson,,,Sr,P,6-1,L/L,15002,19,0,1.0,3.0,4,,1.0,,,6.0,1.0,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,7824302,12,Miller Ladusau,,,Jr,OF,6-3,L/R,15002,59,59,17.0,,17,,1.0,,,,,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,7824307,45,Max Huffing,,,Jr,P,6-9,L/L,15002,21,3,,6.0,6,,1.0,,,5.0,4.0,1.0,,1.0
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,7824310,22,Grayson Tatrow,,,Sr,OF,6-4,L/R,15002,58,58,91.0,2.0,94,1.0,0.989,,,,,1.0,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,7824311,1,Bash Randle,,,Jr,INF,5-10,R/R,15002,32,32,41.0,61.0,104,2.0,0.981,,,,,14.0,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,7824313,27,Sam Berberich,,,Jr,P,5-11,R/L,15002,18,0,1.0,1.0,2,,1.0,,,4.0,,1.0,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,7824314,18,Drake Boggan,,,Jr,P,6-0,R/R,15002,22,1,3.0,1.0,4,,1.0,,,1.0,,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,7824320,17,Breck Eichelberger,,,Sr,P,6-4,R/R,15002,15,15,8.0,5.0,14,1.0,0.929,,,10.0,2.0,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,7824322,10,Tanner Tweedt,,,Sr,C,6-0,R/R,15002,57,56,459.0,27.0,490,4.0,0.992,1.0,16.0,66.0,10.0,3.0,,5.5
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,7824324,4,Julio Riggs,,,Jr,INF,5-9,R/R,15002,12,2,4.0,11.0,15,,1.0,,,,,1.0,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,7824325,9,Riley Bender,,,So,INF,6-3,R/R,15002,13,5,4.0,6.0,10,,1.0,,,,,1.0,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,7824326,5,Adam Byrd,,,So,P,5-11,R/L,15002,16,0,1.0,,1,,1.0,,,2.0,,,,1.0
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,7824327,40,Jack Nielsen,,,So,INF,6-3,R/R,15002,26,17,129.0,7.0,140,4.0,0.971,,,,,7.0,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8008999,34,Blake Anderson,,,Jr,P,5-11,R/R,15002,24,7,2.0,5.0,7,,1.0,,,6.0,2.0,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009004,3,Logan Britt,,,Jr,OF,6-5,R/R,15002,59,59,144.0,5.0,150,1.0,0.993,,,,,2.0,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009009,30,Rolando De La Cruz,,,Jr,P,6-0,R/R,15002,8,4,1.0,1.0,2,,1.0,,,,1.0,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009011,24,Matt Flaherty,,,Jr,C,6-1,R/R,15002,2,0,6.0,,6,,1.0,,,,,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009013,36,Brooks Gay,,,Fr,P,6-2,R/R,15002,7,0,,,0,,,,,1.0,1.0,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009016,35,Holt Gibson,,,Fr,P,6-2,R/R,15002,1,0,,,0,,,,,,,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009018,14,Austin Glaze,,,Jr,P,6-1,R/R,15002,15,15,5.0,4.0,9,,1.0,,,11.0,2.0,,,2.0
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009029,55,Luke Krkovski,,,So,P,6-5,L/L,15002,20,0,2.0,4.0,7,1.0,0.857,,,10.0,2.0,,,2.0
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009030,43,Eric Martin,,,Jr,OF,6-4,L/R,15002,27,19,40.0,1.0,41,,1.0,,,,,1.0,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009031,8,Parker Matthews,,,Fr,P,6-5,B/R,15002,1,1,,1.0,2,1.0,0.5,,,,,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009032,44,Miles McKenna,,,Fr,P,6-4,L/L,15002,1,0,1.0,,1,,1.0,,,,,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009033,29,Nick Meyer,,,Jr,P,6-7,L/L,15002,5,0,,,0,,,,,,,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009035,99,Maddox Miesse,,,Fr,C,6-0,R/R,15002,56,56,56.0,70.0,132,6.0,0.955,,,1.0,1.0,5.0,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009037,11,Blaine Palmer,,,Fr,P,5-11,R/R,15002,2,0,,,0,,,,,,,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009038,2,Crew Parke,,,Jr,INF,5-8,R/R,15002,59,59,90.0,160.0,258,8.0,0.969,,,,,25.0,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009039,39,Holden Rook,,,Fr,OF,5-10,R/R,15002,45,27,67.0,1.0,68,,1.0,,,,,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009040,23,Bobby Serfass,,,Jr,INF,6-2,R/R,15002,2,0,,,0,,,,,,,,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009041,0,Jake Skaggs,,,Jr,OF,5-11,L/L,15002,33,22,132.0,16.0,149,1.0,0.993,,,,,10.0,,
2023,2022-23,MBA,2,Abilene Christian,1,I,WAC,8009043,7,Garrett Williams,,,Jr,INF,5-10,R/R,15002,59,59,217.0,93.0,320,10.0,0.969,,,,,29.0,,
2023,2022-23,MBA,5,Akron,1,I,MAC,7822323,6,Max Bowman,,,Jr,UT,6-0,,15002,35,30,137.0,21.0,167,9.0,0.946,,,,,6.0,,
2023,2022-23,MBA,5,Akron,1,I,MAC,7822324,3,Kaito Hara,,,Sr,INF,-,,15002,49,49,65.0,110.0,184,9.0,0.951,,,,,11.0,,
2023,2022-23,MBA,5,Akron,1,I,MAC,7822325,32,Anthony Fett,,,Jr,P,6-4,,15002,19,3,,11.0,11,,1.0,,,7.0,2.0,1.0,,1.5
2023,2022-23,MBA,5,Akron,1,I,MAC,7822326,41,Brett Dietrich,,,Sr,P,6-3,,15002,18,9,3.0,12.0,17,2.0,0.882,,,13.0,2.0,,,
2023,2022-23,MBA,5,Akron,1,I,MAC,7822327,8,Yassir Kahook,,,Jr,P,5-11,,15002,18,0,,2.0,2,,1.0,,,10.0,,,,2.0
2023,2022-23,MBA,5,Akron,1,I,MAC,7822328,5,Dylan James,,,Sr,P,-,,15002,1,0,,,0,,,,,,,,,
2023,2022-23,MBA,5,Akron,1,I,MAC,7822329,21,Breydan Cavey,,,Sr,INF,6-0,,15002,31,24,62.0,40.0,109,7.0,0.936,,,,,7.0,,
2023,2022-23,MBA,5,Akron,1,I,MAC,7822330,16,Ian Pennington,,,So,OF,6-3,,15002,53,53,160.0,2.0,166,4.0,0.976,,,,,,,
