season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_FLD%,fielding_CI,fielding_PB,fielding_SBA,fielding_CS,fielding_DP,fielding_TP,fielding_SB%
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8259463,11,Blaine Palmer,,,So,P,5-11,R/R,15082,19,0,2.0,2.0,4,,1.0,,,1.0,,,,1.0
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8261791,6,Benjamin Greer,,,Sr,INF,6-0,B/R,15082,44,39,68.0,65.0,142,9.0,0.937,,,,,9.0,,
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8263181,55,Luke Krkovski,,,Jr,P,6-5,L/L,15082,4,0,,1.0,1,,1.0,,,2.0,1.0,,,2.0
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8264144,19,Aaron Staehely,,,Sr,OF,6-0,L/R,15082,45,33,55.0,1.0,56,,1.0,,,,,1.0,,
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8264361,24,Holden Rook,,,So,OF,5-10,R/R,15082,39,25,59.0,,59,,1.0,,,,,,,
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8268041,32,Jack Nielsen,,,Jr,INF,6-3,R/R,15082,26,4,49.0,7.0,57,1.0,0.982,,3.0,1.0,,4.0,,1.0
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8278575,99,Maddox Miesse,,,So,C,6-0,R/R,15082,58,56,341.0,65.0,414,8.0,0.981,,24.0,39.0,12.0,4.0,,22.833
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8279150,30,Rolando De La Cruz,,,Sr,P,6-0,R/R,15082,17,7,3.0,3.0,6,,1.0,,,5.0,,,,2.0
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8281122,34,Eric Martin,,,Sr,OF,6-4,L/R,15082,11,4,11.0,,12,1.0,0.917,,,,,,,
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8281218,12,Miller Ladusau,,,Sr,OF,6-3,L/R,15082,57,57,89.0,2.0,92,1.0,0.989,,,,,,,
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8282371,23,Bobby Serfass,,,Sr,INF,6-2,R/R,15082,6,3,,,0,,,,,,,,,
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8282558,16,Parker Matthews,,,Fr,P,6-5,B/R,15082,11,0,,,0,,,,,1.0,,,,1.0
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8282589,29,Nick Meyer,,,Sr,P,6-7,L/L,15082,3,0,,1.0,1,,1.0,,,1.0,,,,1.0
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8283241,7,Garrett Williams,,,Sr,INF,5-10,R/R,15082,55,55,211.0,69.0,285,5.0,0.982,,,,,24.0,,
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8284460,14,Austin Glaze,,,Sr,P,6-1,R/R,15082,15,15,4.0,3.0,8,1.0,0.875,,,12.0,4.0,1.0,,7.5
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8381492,15,Dash Albus,,,Jr,P,5-11,L/L,15082,20,0,1.0,2.0,3,,1.0,,,2.0,1.0,,,1.0
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8381495,37,Chandler Benson,,,Jr,P,5-11,L/L,15082,15,0,,3.0,3,,1.0,,,3.0,,,,1.0
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8381500,28,Reese Borho,,,Fr,OF,6-0,L/L,15082,43,38,78.0,,81,3.0,0.963,,,,,,,
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8381507,17,Iain Campa,,,Jr,P,6-3,R/R,15082,15,15,1.0,9.0,10,,1.0,,,3.0,1.0,,,3.0
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8381516,42,Joseph Carbone,,,Jr,P,6-0,L/L,15082,2,0,,,0,,,,,,,,,
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8381521,1,Gino D'Alessio,,,Sr,INF,6-4,R/R,15082,58,58,153.0,58.0,216,5.0,0.977,,,,,9.0,,
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8381528,43,Nolan Foster,,,Fr,P,6-2,R/R,15082,5,0,,,0,,,,,1.0,,,,1.0
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8381531,44,Chandler Freeman,,,Sr,P,5-11,R/R,15082,18,0,,2.0,2,,1.0,,,2.0,1.0,,,1.0
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8381542,41,Brett Garcia,,,Sr,P,6-2,R/R,15082,22,2,3.0,1.0,4,,1.0,,,5.0,,,,5.0
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8381575,21,OJ Gonzalez,,,Fr,P,6-0,R/R,15082,3,0,,,0,,,,,4.0,,,,2.0
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8381581,4,Caden Greanead,,,Jr,P,6-3,R/R,15082,22,0,1.0,5.0,8,2.0,0.75,,,14.0,2.0,,,10.0
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8381588,45,Brett Lanman,,,Fr,P,6-4,L/L,15082,16,15,1.0,6.0,7,,1.0,,,4.0,4.0,,,3.0
2024,2023-24,MBA,2,Abilene Christian,1,I,WAC,8381593,25,Beau Leisure,,,Fr,P,6-4,R/R,15082,2,0,,,0,,,,,,,,,
