season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,batting_GP,batting_GS,batting_AVG,batting_OBP,batting_SLG,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,OPP DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_GDP,RBI2out
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7332200,29,Carter Sells,,,Jr,P,6-2,R/R,14940,19,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7332870,10,Bryson Hill,,,Jr,INF,6-0,L/R,14940,54,53,0.286,0.441,0.542,37.0,168.0,48.0,10.0,,91,11.0,34.0,35.0,14.0,3.0,2.0,55.0,1.0,3.0,1.0,5.0,1.0,1.0,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7337724,16,Adam Stephenson,,,Jr,P,6-1,L/L,14940,15,12,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7338328,45,Max Huffing,,,So,P,6-9,L/L,14940,19,3,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7338935,14,Austin Glaze,,,So,P,6-1,R/R,14940,7,2,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7340044,22,Grayson Tatrow,,,Jr,OF,6-4,L/R,14940,59,59,0.285,0.41,0.566,67.0,235.0,67.0,15.0,,133,17.0,66.0,47.0,4.0,2.0,1.0,82.0,2.0,2.0,3.0,16.0,,2.0,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7341941,2,Brett Hammit,,,So,INF,6-3,R/R,14940,47,40,0.2,0.335,0.43,36.0,135.0,27.0,7.0,,58,8.0,33.0,19.0,9.0,1.0,,54.0,2.0,1.0,,4.0,1.0,2.0,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7342020,3,Mitchell Dickson,,,Jr,C,6-4,R/R,14940,58,58,0.335,0.436,0.428,56.0,236.0,79.0,8.0,1.0,101,4.0,26.0,36.0,8.0,2.0,3.0,27.0,3.0,3.0,,13.0,,3.0,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7345008,1,Bash Randle,,,So,INF,5-10,R/R,14940,57,55,0.324,0.405,0.507,46.0,213.0,69.0,13.0,1.0,108,8.0,43.0,24.0,7.0,3.0,,48.0,8.0,1.0,,13.0,,8.0,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7345557,12,Miller Ladusau,,,So,OF,6-3,L/R,14940,52,52,0.303,0.406,0.443,39.0,201.0,61.0,17.0,1.0,89,3.0,32.0,21.0,15.0,2.0,1.0,58.0,3.0,2.0,,5.0,,3.0,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7354758,28,Cinoon Bak,,,Fr,P,6-0,R/R,14940,3,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7357146,21,Tyler Morgan,,,So,P,6-0,R/R,14940,16,16,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7357849,39,Connor Carlton,,,Jr,P,6-1,L/L,14940,19,1,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7540144,8,Colton Eager,,,Sr,OF,6-1,L/L,14940,59,59,0.306,0.42,0.528,46.0,235.0,72.0,18.0,2.0,124,10.0,51.0,36.0,12.0,3.0,,34.0,4.0,1.0,,8.0,3.0,3.0,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7540154,24,Garrett Egli,,,Sr,P,6-4,R/R,14940,10,3,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7540155,44,Sam Grace,,,Jr,P,6-4,R/R,14940,9,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,2,Abilene Christian,1,I,WAC,7540156,9,Hunter Gieser,,,Sr,INF,6-3,R/R,14940,55,53,0.265,0.374,0.534,41.0,189.0,50.0,10.0,1.0,101,13.0,42.0,20.0,15.0,3.0,,73.0,1.0,1.0,1.0,3.0,,1.0,
