season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,batting_GP,batting_GS,batting_AVG,batting_OBP,batting_SLG,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,OPP DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_GDP,RBI2out
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7988518,99,Hunter Havekost,,,So,UT,6-2,,15000,9,0,0.444,0.545,0.667,3,9,4,2,,6,,3,2,,,,2,1,,,,,1,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827450,67,Jack Kartsonas,,,Sr,P,6-3,,15000,9,4,,,,,,,,,0,,,,,,,,,,,,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827452,6,Justin Miknis,,,Sr,C,-,,15000,58,58,0.318,0.398,0.502,55,233,74,15,2,117,8,46,28,4,1,4,41,5,,1,3,,1,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827455,38,Michael McNamara,,,Jr,INF,6-2,,15000,57,57,0.288,0.412,0.567,51,208,60,20,1,118,12,51,37,10,5,,33,4,5,1,5,,1,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827456,36,Peyton Cariaco,,,So,P,6-0,L/L,15000,20,2,,,,,,,,,0,,,,,,,,,,,,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827457,5,Aidan Longwell,,,Jr,UT,-,,15000,58,58,0.404,0.478,0.652,60,230,93,23,2,150,10,75,27,12,7,1,23,3,1,,5,5,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827458,32,Josh Johnson,,,Sr,OF,6-2,,15000,55,55,0.313,0.414,0.473,53,201,63,15,4,95,3,29,29,6,1,6,53,2,6,1,22,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827459,19,Eric Chalus,,,So,P,6-1,-/L,15000,14,11,,,,,,,,,0,,,,,,,,,,,,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827461,40,Benny Roebuck,,,Jr,P,6-1,,15000,17,4,,,,,,,,,0,,,,,,,,,,,,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827462,18,Josh Mrozek,,,Sr,INF,-,,15000,35,19,0.275,0.362,0.438,17,80,22,5,1,35,2,18,9,3,2,4,22,1,1,1,8,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827463,17,Mack Timbrook,,,Sr,INF,5-10,L/R,15000,51,49,0.301,0.414,0.480,47,173,52,13,,83,6,37,26,9,2,5,35,1,4,,10,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827465,4,Kyle Jackson,,,Jr,INF,6-3,,15000,58,58,0.250,0.387,0.417,47,216,54,8,2,90,8,40,46,6,6,7,55,1,4,2,17,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827467,26,Richie Dell,,,Sr,P,6-2,R/R,15000,15,1,,,,,,,,,0,,,,,,,,,,,,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827468,39,Calvin Bickerstaff,,,Jr,P,6-5,,15000,25,0,,,,,,,,,0,,,,,,,,,,,,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827470,34,Hunter Klotz,,,So,C,6-3,R/-,15000,9,1,0.182,0.250,0.182,3,11,2,,,2,,,1,,,,5,,,,,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827471,12,Jaden Varner,,,So,P,5-11,L/L,15000,20,0,,,,,,,,,0,,,,,,,,,,,,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827472,31,Lance Macdonald,,,Sr,C,5-11,,15000,12,1,0.100,0.308,0.200,2,10,1,1,,2,,2,2,1,,1,4,,,,,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827473,21,Jacob Casey,,,So,INF,6-2,,15000,50,47,0.249,0.385,0.527,44,169,42,7,2,89,12,40,24,14,1,1,61,,,1,13,1,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827474,35,Caden Leonard,,,So,P,6-5,-/R,15000,8,0,,,,,,,,,0,,,,,,,,,,,,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827476,88,Ben Cruikshank,,,Sr,P,-,,15000,15,15,,,,,,,,,0,,,,,,,,,,,,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7827479,3,Connor Ashby,,,So,INF,6-1,R/R,15000,33,15,0.194,0.257,0.239,10,67,13,3,,16,,8,4,2,1,4,25,,1,,3,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7974384,30,Mitchell Scott,,,Sr,P,6-1,R/R,15000,30,0,,,,,,,,,0,,,,,,,,,,,,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7974390,51,Jordan Kolenda,,,Fr,P,6-4,,15000,24,0,,,,,,,,,0,,,,,,,,,,,,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7974406,10,Ciaran Caughey,,,Fr,P,6-1,,15000,9,2,,,,,,,,,0,,,,,,,,,,,,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7974408,11,Kolton Schaller,,,Fr,INF,6-1,,15000,42,23,0.326,0.453,0.477,22,86,28,4,,41,3,25,12,8,,1,22,4,,,5,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7974410,13,Collin Mathews,,,Sr,OF,-,,15000,56,55,0.341,0.461,0.565,63,214,73,16,1,121,10,50,24,26,3,2,54,5,7,4,22,,,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7974415,22,Brody Williams,,,Fr,C,6-1,,15000,42,26,0.264,0.360,0.443,16,106,28,7,,47,4,26,15,2,2,,32,2,,1,2,,2,
2023,2022-23,MBA,331,Kent St.,1,I,MAC,7974440,37,Joseph Whitman,,,Jr,P,-,,15000,15,15,,,,,,,,,0,,,,,,,,,,,,,,
