,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,batting_GP,batting_GS,batting_AVG,batting_OBP,batting_SLG,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,OPP DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_GDP,RBI2out
0,2023,2022-23,MBA,699,Texas Southern,1,I,SWAC,8012773,8,Noah Butler,,,So,cf,6-3,,15000,34,10,0.186,0.352,0.279,13,43,8,1,,12,1,6,9,2,,3,12,,5,,9,,,
1,2023,2022-23,MBA,699,Texas Southern,1,I,SWAC,8012817,30,Carlos Marquez,,,Jr,p,6-5,,15000,16,0,,,,,,,,,0,,,,,,,,,,,,,,
2,2023,2022-23,MBA,699,Texas Southern,1,I,SWAC,7822412,5,Jordan Vidato,,,Sr,OF,6-0,,15000,28,24,0.253,0.381,0.354,18,79,20,5,0,28,1,11,14,3,1,2,21,,3,,5,,,
3,2023,2022-23,MBA,699,Texas Southern,1,I,SWAC,7822414,11,Roderick Coffee,,,Sr,OF,-,,15000,46,40,0.279,0.370,0.513,27,154,43,10,1,79,8,33,15,9,3,,30,2,1,,2,,,
4,2023,2022-23,MBA,699,Texas Southern,1,I,SWAC,7822415,32,Michael Goudeau,,,Sr,C,5-8,,15000,36,27,0.361,0.471,0.506,17,83,30,9,0,42,1,20,11,7,1,2,19,2,1,,1,,,
5,2023,2022-23,MBA,699,Texas Southern,1,I,SWAC,7822416,19,Tyler Williams,,,Jr,ph,5-8,,15000,15,0,0.273,0.556,0.273,3,11,3,,,3,,1,3,4,,,1,,,,,,,
6,2023,2022-23,MBA,699,Texas Southern,1,I,SWAC,7822418,38,Adolf Castillo,,,Jr,p,5-10,,15000,17,1,,,,,,,,,0,,,,,,,,,,,,,,
7,2023,2022-23,MBA,699,Texas Southern,1,I,SWAC,7822419,9,Kobe Head,,,Jr,P,6-0,R/R,15000,5,1,,,,,,,,,0,,,,,,,,,,,,,,
8,2023,2022-23,MBA,699,Texas Southern,1,I,SWAC,7822421,14,Gabe Vasquez,,,Sr,UT,6-3,R/L,15000,45,42,0.276,0.452,0.538,42,145,40,6,1,78,10,35,47,3,4,,40,3,3,1,4,,,
9,2023,2022-23,MBA,699,Texas Southern,1,I,SWAC,7822422,17,Josiah Castro,,,Jr,p,6-0,,15000,18,2,,,,,,,,,0,,,,,,,,,,,,,,
10,2023,2022-23,MBA,699,Texas Southern,1,I,SWAC,7822426,25,Justin Blogg,,,So,ph,-,,15000,19,13,0.310,0.459,0.345,7,29,9,1,,10,,6,6,2,,1,4,1,,1,,,1,
11,2023,2022-23,MBA,699,Texas Southern,1,I,SWAC,7822427,46,Tyler Legendre,,,So,ph,6-0,,15000,5,0,0.500,0.500,0.750,1,4,2,1,,3,,1,,,,,1,,,,,,,
