,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,batting_GP,batting_GS,batting_AVG,batting_OBP,batting_SLG,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,OPP DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_GDP,RBI2out
18,2023,2022-23,MBA,402,McNeese,1,I,Southland,7828076,10,Josh Leslie,,,Sr,INF,-,,15000,58,58,0.313,0.372,0.543,44,243,76,26,3,132,8,57,19,7,5,,17,12,4,3,21,,9,
19,2023,2022-23,MBA,402,McNeese,1,I,Southland,7828078,34,Burrell Jones,,,Sr,P,-,,15000,19,7,,,,,,,,,0,,,,,,,,,,,,,,
20,2023,2022-23,MBA,402,McNeese,1,I,Southland,7828080,40,Grant Rogers,,,Jr,P,-,,15000,15,15,,,,,,,,,0,,,,,,,,,,,,,,
21,2023,2022-23,MBA,402,McNeese,1,I,Southland,8010368,11,Taylor Darden,,,Sr,INF,6-0,,15000,49,46,0.224,0.341,0.362,29,152,34,6,,55,5,27,22,7,4,5,22,3,1,2,2,,,
22,2023,2022-23,MBA,402,McNeese,1,I,Southland,8010371,26,Elliot Hebert,,,Jr,UT,6-2,,15000,21,10,0.239,0.340,0.391,5,46,11,4,,18,1,7,7,,,1,13,,,,2,,,
23,2023,2022-23,MBA,402,McNeese,1,I,Southland,8010367,8,Braley Hollins,,,Fr,INF,6-0,,15000,25,23,0.329,0.418,0.506,13,79,26,6,1,40,2,12,7,5,,2,17,1,1,,3,,,
24,2023,2022-23,MBA,402,McNeese,1,I,Southland,8010373,31,Tyler Brown,,,Jr,P,5-10,,15000,4,0,,,,,,,,,0,,,,,,,,,,,,,,
25,2023,2022-23,MBA,402,McNeese,1,I,Southland,8010376,36,JT Moeller,,,Jr,P,6-1,,15000,15,0,,,,,,,,,0,,,,,,,,,,,,,,
26,2023,2022-23,MBA,402,McNeese,1,I,Southland,8010374,32,Kainin Morrow,,,Jr,P,6-0,,15000,15,5,,,,,,,,,0,,,,,,,,,,,,,,
27,2023,2022-23,MBA,402,McNeese,1,I,Southland,8010375,35,Cade Hart,,,Jr,P,6-1,,15000,6,0,,,,,,,,,0,,,,,,,,,,,,,,
28,2023,2022-23,MBA,402,McNeese,1,I,Southland,8010402,46,Brock Barthelemy,,,Jr,P,6-0,,15000,17,0,,,,,,,,,0,,,,,,,,,,,,,,
29,2023,2022-23,MBA,402,McNeese,1,I,Southland,8010405,88,Luke Steward,,,Fr,P,6-2,,15000,3,1,,,,,,,,,0,,,,,,,,,,,,,,
30,2023,2022-23,MBA,402,McNeese,1,I,Southland,8010403,49,Payton Tinkler,,,Jr,P,6-1,,15000,11,0,,,,,,,,,0,,,,,,,,,,,,,,
31,2023,2022-23,MBA,402,McNeese,1,I,Southland,8010372,28,Dean Bittner,,,Jr,UT,6-2,,15000,17,11,0.205,0.304,0.333,7,39,8,2,,13,1,7,4,2,1,1,11,1,1,,3,,,
32,2023,2022-23,MBA,402,McNeese,1,I,Southland,8010400,43,Zach Voss,,,Jr,P,6-2,,15000,8,6,,,,,,,,,0,,,,,,,,,,,,,,
33,2023,2022-23,MBA,402,McNeese,1,I,Southland,8010383,6,Tre Obregon III,,,Sr,DH,-,,15000,57,57,0.309,0.385,0.475,35,217,67,21,,103,5,44,20,12,8,,31,5,1,1,8,,1,
