,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_FLD%,fielding_CI,fielding_PB,fielding_SBA,fielding_CS,fielding_DP,fielding_TP,fielding_SB%
0,2024,2023-24,MBA,328,Kansas,1,I,Big 12,8452925,40,Tegan Cain,,,Jr,P,-,,15082,27,1,,2,3,1,0.667,,,5,2,,,2.500
1,2024,2023-24,MBA,328,Kansas,1,I,Big 12,8268070,6,Michael Brooks,,,Jr,INF,-,R/R,15082,37,37,27,87,119,5,0.958,,,,,12,,
2,2024,2023-24,MBA,328,Kansas,1,I,Big 12,8270015,35,Ethan Bradford,,,Sr,P,-,,15082,10,0,,,0,,,,,1,,,,1.000
3,2024,2023-24,MBA,328,Kansas,1,I,Big 12,8276166,10,Janson Reeder,,,Sr,OF,-,,15082,22,19,,,0,,,,,,,,,
4,2024,2023-24,MBA,328,Kansas,1,I,Big 12,8277845,34,Kolby Dougan,,,Sr,P,-,,15082,15,0,1,1,2,,1.000,,,3,,,,3.000
5,2024,2023-24,MBA,328,Kansas,1,I,Big 12,8453030,1,Ty Wisdom,,,Fr,INF,-,,15082,35,30,52,11,67,4,0.940,,,,,4,,
6,2024,2023-24,MBA,328,Kansas,1,I,Big 12,8273982,21,Jake English,,,Jr,C,-,,15082,54,53,462,34,500,4,0.992,,6,40,11,8,,24.500
7,2024,2023-24,MBA,328,Kansas,1,I,Big 12,8271614,17,Mitchell Birdsall,,,So,C,-,,15082,2,0,1,,1,,1.000,,,,,,,
8,2024,2023-24,MBA,328,Kansas,1,I,Big 12,8266092,46,Gavin Brasosky,,,Jr,P,-,,15082,17,0,1,1,2,,1.000,,,1,,,,1.000
9,2024,2023-24,MBA,328,Kansas,1,I,Big 12,8267302,32,Hunter Cranton,,,Sr,P,-,,15082,25,0,,1,1,,1.000,,,3,1,,,3.000
10,2024,2023-24,MBA,328,Kansas,1,I,Big 12,8274200,18,Kodey Shojinaga,,,So,INF,-,,15082,54,54,112,77,197,8,0.959,,,,,24,,
11,2024,2023-24,MBA,328,Kansas,1,I,Big 12,8258962,9,Luke Leto,,,Jr,INF,-,,15082,20,12,72,3,80,5,0.938,,,,,5,,
12,2024,2023-24,MBA,328,Kansas,1,I,Big 12,8267445,44,Sam Ireland,,,Sr,P,-,,15082,6,0,1,1,3,1,0.667,,,,1,,,
