,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_FLD%,fielding_CI,fielding_PB,fielding_SBA,fielding_CS,fielding_DP,fielding_TP,fielding_SB%
0,2024,2023-24,MBA,169,Creighton,1,I,Big East,8271286,12,Zane Skansi,,,Jr,UT,6-0,R/R,15082,3,0,,,0,,,,,,,,,
1,2024,2023-24,MBA,169,Creighton,1,I,Big East,8259699,30,Shane Curtin,,,So,P,5-11,L/L,15082,24,0,5,6,11,,1.000,,,5,1,,,3.000
2,2024,2023-24,MBA,169,Creighton,1,I,Big East,8274046,20,Tate  Gillen,,,So,OF,5-11,L/L,15082,33,32,58,1,59,,1.000,,,,,,,
3,2024,2023-24,MBA,169,Creighton,1,I,Big East,8275321,15,Kyle  Hess,,,Jr,INF,6-1,L/R,15082,41,34,70,66,142,6,0.958,,,,,15,,
4,2024,2023-24,MBA,169,Creighton,1,I,Big East,8262438,7,Cooper Dulich,,,Jr,SS,6-2,R/R,15082,6,1,2,1,4,1,0.750,,,,,,,
5,2024,2023-24,MBA,169,Creighton,1,I,Big East,8258875,44,Jack Peluso,,,Sr,OF,6-3,R/R,15082,5,0,4,,4,,1.000,,,,,1,,
6,2024,2023-24,MBA,169,Creighton,1,I,Big East,8269431,24,Nolan Clifford,,,Sr,INF,5-9,L/R,15082,41,41,48,106,158,4,0.975,,,,,12,,
7,2024,2023-24,MBA,169,Creighton,1,I,Big East,8266307,34,Jack Grace,,,Sr,OF,6-3,R/R,15082,26,18,2,,2,,1.000,,,,,,,
8,2024,2023-24,MBA,169,Creighton,1,I,Big East,8270857,22,Hogan  Helligso,,,Jr,C,5-11,R/R,15082,43,36,271,34,305,,1.000,,7,35,10,1,,18.733
9,2024,2023-24,MBA,169,Creighton,1,I,Big East,8268461,11,Ben  North,,,So,INF,6-0,R/R,15082,52,51,50,98,158,10,0.937,,,,,6,,
10,2024,2023-24,MBA,169,Creighton,1,I,Big East,8267801,10,Jack Scheri,,,So,INF,5-9,R/R,15082,1,0,,,0,,,,,,,,,
