,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_FLD%,fielding_CI,fielding_PB,fielding_SBA,fielding_CS,fielding_DP,fielding_TP,fielding_SB%
0,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455614,50,Kevin Milewsky,,,Fr,C,6-5,R/R,15082,18,9,34,5,40,1,0.975,,2,7,3,,,2.667
1,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455547,3,Ryan Frontera,,,Fr,INF,6-2,R/R,15082,4,0,,1,1,,1.000,,,,,,,
2,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455581,24,Alex D'Ambrosio,,,Fr,P,6-0,R/R,15082,15,1,1,6,7,,1.000,,,4,1,,,4.000
3,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455583,25,Jackson Balzan,,,Sr,P,5-11,L/L,15082,18,5,3,3,11,5,0.545,,,11,1,1,,7.000
4,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455586,27,Andrew Bianco,,,Sr,UT,6-4,R/R,15082,34,30,193,15,211,3,0.986,,,,,16,,
5,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455607,39,Nate Espelin,,,Sr,P,6-0,R/L,15082,25,0,2,14,17,1,0.941,,,4,1,1,,3.000
6,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455588,29,Cole Zak,,,Jr,OF,6-0,L/L,15082,40,29,52,,53,1,0.981,,,,,,,
7,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455594,32,Frankie Scravanic,,,Fr,INF,6-0,L/L,15082,26,16,118,7,129,4,0.969,,,,,10,,
8,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455626,46,Alex Nicolosi,,,Sr,P,5-9,R/R,15082,11,0,,2,2,,1.000,,,1,1,,,1.000
9,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8274833,48,Carter Kelsey,,,Jr,P,6-5,R/R,15082,4,0,,,0,,,,,1,,,,1.000
10,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8259506,45,Colin Dowlen,,,So,P,5-11,R/R,15082,10,1,1,,1,,1.000,,,2,1,,,1.500
11,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8272553,21,Devin Hack,,,Sr,OF,6-0,L/L,15082,26,25,39,1,40,,1.000,,,,,,,
12,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8262035,19,John Downing,,,So,P,6-3,L/L,15082,4,1,1,,1,,1.000,,,1,,,,1.000
13,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8276660,23,Jay Allmer,,,Sr,P,6-6,R/R,15082,25,0,3,7,10,,1.000,,,3,1,2,,3.000
14,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8270391,16,Ryan Reich,,,So,P,6-2,R/R,15082,14,14,1,4,6,1,0.833,,,5,5,,,4.333
15,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8259989,1,Jonathan Luders,,,Sr,INF,5-10,R/R,15082,52,52,94,142,243,7,0.971,,,,,20,,
16,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8262390,14,Daniel Frontera,,,Jr,P,6-1,R/R,15082,9,9,1,8,10,1,0.900,,,10,2,,,5.000
17,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8266121,7,Dane Hoggard,,,Sr,UT,6-0,R/R,15082,2,0,,,0,,,,,,,,,
18,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8267363,41,Jack Wentworth,,,Jr,OF,6-4,R/R,15082,3,0,,,0,,,,,,,,,
