,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_FLD%,fielding_CI,fielding_PB,fielding_SBA,fielding_CS,fielding_DP,fielding_TP,fielding_SB%
16,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423515,21,Jack Lux,,,So,UT,5-9,L/R,15082,17,1,2,5,7,,1.000,,,,,,,
17,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423531,25,Harrison Griffith,,,Jr,UT,6-1,R/R,15082,15,1,15,2,17,,1.000,,,,,,,
18,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423537,35,Carter Hain,,,Jr,INF,6-3,R/R,15082,47,39,80,78,160,2,0.988,,,,,15,,
19,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423432,27,Pierson Gunnell,,,Jr,C,6-0,R/R,15082,5,0,2,,2,,1.000,,,,,,,
20,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423546,36,Gavin Arseneau,,,Jr,UT,5-11,R/R,15082,44,12,58,3,62,1,0.984,,,,,2,,
21,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423558,3,Trent Rice,,,Fr,OF,5-11,R/R,15082,55,42,90,8,99,1,0.990,,,,,1,,
22,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423396,9,Ian Cleary,,,Sr,OF,5-8,L/R,15082,48,38,56,1,57,,1.000,,,,,,,
23,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423420,11,Aidan Orr,,,Fr,UT,5-11,L/R,15082,30,26,1,,1,,1.000,,,,,,,
24,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423426,20,Drew Gaskins,,,Fr,INF,6-0,L/R,15082,45,10,27,24,55,4,0.927,,,,,7,,
25,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423428,50,Noah Stants,,,Sr,P,6-3,R/R,15082,3,0,,,1,1,0.000,,,,,,,
26,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423493,45,Aaron Evers,,,Sr,P,6-2,R/R,15082,20,0,,6,7,1,0.857,,,,3,1,,
27,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423457,24,Aidan Manzella,,,Fr,P,6-3,R/R,15082,4,0,,,0,,,,,,,,,
28,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423410,10,Shane McAlinden,,,Fr,P,6-0,R/R,15082,18,8,3,4,7,,1.000,,,1,1,,,1.000
29,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423424,15,Ben Clark,,,Fr,C,5-10,R/R,15082,27,15,39,2,41,,1.000,,,9,1,,,2.800
30,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423453,22,Doug Loden,,,Jr,P,6-1,L/R,15082,7,0,,,0,,,,,,1,,,
31,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8423500,16,Boston Halloran,,,Fr,INF,5-10,R/R,15082,2,0,,1,1,,1.000,,,,,,,
32,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8596792,26,Gage Smith,,,Jr,P,6-5,R/R,15082,13,2,1,1,4,2,0.500,,,,1,,,
33,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8683821,40,Ryan Donley,,,Fr,P,6-4,L/L,15082,5,0,,1,2,1,0.500,,,3,,,,1.000
34,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8683822,23,Josh Korson,,,So,C,6-4,R/R,15082,3,0,,,0,,,,,,,,,
35,2024,2023-24,MBA,514,Oakland,1,I,Horizon,8588598,6,Erik Larsen,,,Jr,INF,5-10,R/R,15082,18,12,20,27,51,4,0.922,,,,,5,,
