,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_FLD%,fielding_CI,fielding_PB,fielding_SBA,fielding_CS,fielding_DP,fielding_TP,fielding_SB%
0,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587624,12,Benny Hernandez,,,Jr,,6-0,,15082,34,30,15,,15,,1.000,,,,,,,
1,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587557,5,Kyndell Dolphin,,,Sr,INF,6-0,,15082,30,26,35,35,82,12,0.854,,,1,,3,,1.000
2,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587558,21,Ty Washington,,,Sr,C,5-10,,15082,40,40,155,13,175,7,0.960,,11,81,6,1,,26.250
3,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587612,29,Noah Bufford,,,Fr,,-,,15082,16,5,1,,1,,1.000,,,,,,,
4,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587613,27,Jesus Campa,,,Jr,,6-2,,15082,14,12,1,10,13,2,0.846,,,14,1,1,,8.667
5,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587618,7,Jack Early,,,Sr,,5-10,,15082,40,38,84,47,136,5,0.963,,10,14,1,11,,5.500
6,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587620,25,Brayden Eftink,,,Jr,,6-0,,15082,32,14,26,6,33,1,0.970,1,,14,1,,,9.500
7,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587622,10,Ricky Hernandez,,,Fr,,5-6,,15082,12,1,5,,5,,1.000,,,,,,,
8,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8260877,1,Davon Mims,,,Sr,OF,5-11,,15082,42,39,118,2,127,7,0.945,,,,,,,
9,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8261382,14,Dreylin Holmes,,,Sr,INF,6-2,,15082,44,44,114,2,120,4,0.967,,,1,,,,1.000
10,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8259050,22,Isaiah Valenzuela,,,Sr,P,5-10,,15082,14,1,,2,2,,1.000,,,2,1,,,2.000
11,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8273537,18,Maury Weaver,,,Sr,P,6-1,,15082,45,45,53,67,128,8,0.938,,,,,9,,
12,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8277466,23,James Snipes,,,So,p,6-2,,15082,15,6,5,8,13,,1.000,,,13,,,,6.000
13,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8284752,19,Dylan Whitfield,,,Sr,P,5-11,,15082,15,2,,4,4,,1.000,,,15,1,,,8.833
14,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587625,24,Kobe Ladd,,,Fr,,6-1,,15082,6,0,1,1,3,1,0.667,,,3,,,,3.000
15,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8588100,3,Elias Pena,,,Fr,,5-10,,15082,22,8,17,18,41,6,0.854,,,,,2,,
16,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587615,31,Ricardo Chambers,,,Fr,,6-0,,15082,5,0,,,0,,,,,,,,,
17,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587616,2,Aaron Coats,,,Fr,,5-10,,15082,29,21,42,,45,3,0.933,,,,,,,
18,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587626,15,Will Menendez,,,Sr,,6-0,,15082,43,43,304,12,323,7,0.978,,,1,,17,,1.000
19,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587555,4,Simon Yoakum,,,Fr,OF,6-1,L/L,15082,25,17,44,1,46,1,0.978,,,,,,,
20,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587556,42,Craig McGee,,,Jr,P,6-1,R/R,15082,14,0,1,4,6,1,0.833,,,4,,2,,3.000
21,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587554,28,Jodney Ofarill-Ortiz,,,Fr,INF,5-9,,15082,40,36,57,100,169,12,0.929,,,1,,10,,1.000
22,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587560,8,Blake Bax,,,Sr,,6-1,,15082,9,7,2,7,10,1,0.900,,,7,1,,,4.500
23,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8587561,33,Quin Bennett,,,Sr,,6-2,,15082,14,4,2,1,5,2,0.600,,,10,1,,,7.000
24,2024,2023-24,MBA,432,Mississippi Val.,1,I,SWAC,8588107,11,Armando Sierra,,,Sr,,6-2,,15082,13,11,1,13,14,,1.000,,,13,4,,,5.167
