,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_FLD%,fielding_CI,fielding_PB,fielding_SBA,fielding_CS,fielding_DP,fielding_TP,fielding_SB%
0,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8259542,6,Stewart Puckett,Puckett,Stewart,Fr,INF,5-10,L/R,15082,36,26,114.0,14.0,133,5.0,0.962,,,,,12.0,,
1,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8262023,12,Hunter Mink,Mink,Hunter,Sr,P,6-1,-/R,15082,14,14,4.0,8.0,14,2.0,0.857,,,12.0,2.0,,,7.25
2,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8269089,8,Bobby Boser,Boser,Bobby,Jr,UT,6-1,R/R,15082,34,30,39.0,93.0,136,4.0,0.971,,,,,19.0,,
3,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8276916,39,Mason Manriquez,Manriquez,Mason,Jr,P,6-0,-/R,15082,6,0,,1.0,1,,1.0,,,3.0,,,,2.0
4,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8264789,18,Drew Brutcher,Brutcher,Drew,Sr,OF,6-5,L/R,15082,55,54,90.0,2.0,94,2.0,0.979,,,,,1.0,,
5,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8278098,15,Chandler Dorsey,Dorsey,Chandler,So,P,6-4,-/R,15082,26,0,3.0,,3,,1.0,,,12.0,,,,8.0
6,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8270611,3,Eric Snow,Snow,Eric,So,INF,5-8,R/R,15082,45,43,55.0,124.0,190,11.0,0.942,,,,,26.0,,
7,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8270721,29,Joaquin Monque,Monque,Joaquin,Sr,C,6-0,R/R,15082,49,47,209.0,55.0,270,6.0,0.978,,5.0,30.0,6.0,7.0,,14.633
8,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8268600,4,Jackson Mayo,Mayo,Jackson,Jr,OF,6-1,L/L,15082,51,48,97.0,,99,2.0,0.98,,,,,,,
9,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8268604,1,Marcus Brodil,Brodil,Marcus,Jr,OF,6-0,L/L,15082,41,34,65.0,,66,1.0,0.985,,,,,,,
10,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8268615,45,Jack Cebert,Cebert,Jack,Jr,P,6-2,-/R,15082,15,13,7.0,4.0,11,,1.0,,,12.0,6.0,,,6.3
11,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8260629,35,Lawson Gailey,Gailey,Lawson,So,P,6-0,-/R,15082,13,8,2.0,6.0,10,2.0,0.8,,,6.0,1.0,2.0,,3.5
12,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8267976,24,Tanner Mink,Mink,Tanner,Sr,P,6-0,-/R,15082,16,0,,7.0,9,2.0,0.778,,,5.0,1.0,1.0,,4.0
13,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8268716,5,Rafael Betancourt,Betancourt,Rafael,So,UT,5-11,B/R,15082,44,42,3.0,,3,,1.0,,,,,2.0,,
14,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8263130,2,Matt Rose,Rose,Matt,So,INF,5-6,R/R,15082,37,32,12.0,48.0,64,4.0,0.938,,,,,3.0,,
15,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8286794,37,Riley Skeen,Skeen,Riley,Sr,P,6-0,-/R,15082,17,0,1.0,2.0,3,,1.0,,,1.0,,,,1.0
16,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8286812,0,John Montes,Montes,John,Sr,INF,5-10,L/R,15082,53,52,216.0,103.0,324,5.0,0.985,,,,,31.0,,
17,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8279423,10,Ben Rozenblum,Rozenblum,Ben,Sr,UT,5-11,R/R,15082,55,53,311.0,16.0,329,2.0,0.994,,4.0,30.0,8.0,8.0,,10.583
18,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8287765,26,Austin Newton,Newton,Austin,So,P,6-6,-/R,15082,18,1,,2.0,2,,1.0,,,3.0,,,,3.0
19,2024,2023-24,MBA,651,South Fla.,1,I,AAC,8284729,22,Joey Volini,Volini,Joey,So,P,6-4,-/L,15082,14,3,,6.0,7,1.0,0.857,,,1.0,1.0,,,1.0
