sport_id,game_id,team_id,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%
MBA,6339547,596741,32,3,10,2,0,12,0,2,3,1,0,1,7,0,0,0,0,0,3,7.999,15,6,6,3,1,43,1,1,0,1,1,2,1,2,1,0,0,0,0,0,21,12,34,1,0,0,1,0,5,0,1.0
MBA,6339547,596868,38,6,15,1,1,21,1,5,3,2,0,0,1,2,0,0,1,1,0,9.001000000000001,11,3,3,3,7,42,2,0,0,0,1,1,0,6,0,1,0,3,0,0,27,7,34,0,0,0,0,0,0,0,
