,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_FLD%,fielding_CI,fielding_PB,fielding_SBA,fielding_CS,fielding_DP,fielding_TP,fielding_SB%
0,2023,2022-23,MBA,99,Long Beach St.,1,I,Big West,7825245,55,Jonathan Carlos,,,Sr,P,5-11,R/R,15002,21,0,1,5,6,,1.000,,,2,,1,,1.000
1,2023,2022-23,MBA,99,Long Beach St.,1,I,Big West,7825248,22,Connor Burns,,,Jr,C,6-1,R/R,15002,55,55,525,58,588,5,0.991,2,3,17,15,1,,4.000
2,2023,2022-23,MBA,99,Long Beach St.,1,I,Big West,7825252,11,Jake Rons,,,Jr,P,6-1,R/R,15002,15,5,3,1,4,,1.000,,,1,1,,,
3,2023,2022-23,MBA,99,Long Beach St.,1,I,Big West,7825254,24,Jonathon Long,,,Jr,INF,6-0,R/R,15002,55,55,299,39,342,4,0.988,,,,,19,,
4,2023,2022-23,MBA,99,Long Beach St.,1,I,Big West,7825260,29,Ethan Clough,,,Sr,P,5-10,R/R,15002,19,0,2,1,3,,1.000,,,,1,,,
5,2023,2022-23,MBA,99,Long Beach St.,1,I,Big West,7825266,5,Eddie Saldivar,,,So,INF,5-11,L/R,15002,55,55,87,107,201,7,0.965,,,,,12,,
6,2023,2022-23,MBA,99,Long Beach St.,1,I,Big West,7825267,36,Tyler White,,,So,OF,6-1,R/R,15002,27,11,32,1,33,,1.000,,,,,,,
7,2023,2022-23,MBA,99,Long Beach St.,1,I,Big West,7825273,32,Dalton Ponce,,,Sr,P,6-2,R/R,15002,20,3,1,5,6,,1.000,,,2,2,1,,1.000
8,2023,2022-23,MBA,99,Long Beach St.,1,I,Big West,7825274,20,Josh Haley,,,Sr,P,6-0,L/L,15002,21,0,2,3,5,,1.000,,,3,,1,,
9,2023,2022-23,MBA,99,Long Beach St.,1,I,Big West,7825275,27,Rocco Peppi,,,So,INF,5-11,R/R,15002,55,55,62,3,67,2,0.970,,,,,,,
10,2023,2022-23,MBA,99,Long Beach St.,1,I,Big West,7987444,37,Nick Wallerstedt,,,Jr,P,6-3,R/R,15002,7,0,,1,1,,1.000,,,,,,,
