,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,batting_GP,batting_GS,batting_AVG,batting_OBP,batting_SLG,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,OPP DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_GDP,RBI2out
0,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455614,50,Kevin Milewsky,,,Fr,C,6-5,R/R,15080,18,9,0.129,0.400,0.258,6,31,4,1,,8,1,2,11,3,,,15,,,,,,,
1,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455547,3,Ryan Frontera,,,Fr,INF,6-2,R/R,15080,4,0,0.333,0.500,0.333,,3,1,,,1,,1,1,,,,1,,,,1,,,
2,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455581,24,Alex D'Ambrosio,,,Fr,P,6-0,R/R,15080,15,1,,,,,,,,,0,,,,,,,,,,,,,,
3,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455583,25,Jackson Balzan,,,Sr,P,5-11,L/L,15080,18,5,,,,,,,,,0,,,,,,,,,,,,,,
4,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455586,27,Andrew Bianco,,,Sr,UT,6-4,R/R,15080,34,30,0.224,0.278,0.299,16,107,24,5,,32,1,9,4,4,,2,18,4,1,,1,,3,
5,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455607,39,Nate Espelin,,,Sr,P,6-0,R/L,15080,25,0,,,,,,,,,0,,,,,,,,,,,,,,
6,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455588,29,Cole Zak,,,Jr,OF,6-0,L/L,15080,40,29,0.235,0.285,0.435,17,115,27,5,3,50,4,23,8,,,1,21,1,1,,2,,1,
7,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455594,32,Frankie Scravanic,,,Fr,INF,6-0,L/L,15080,26,16,0.169,0.279,0.203,3,59,10,2,,12,,6,6,3,,1,14,2,,,,,1,
8,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455626,46,Alex Nicolosi,,,Sr,P,5-9,R/R,15080,11,0,,,,,,,,,0,,,,,,,,,,,,,,
9,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8274833,48,Carter Kelsey,,,Jr,P,6-5,R/R,15080,4,0,,,,,,,,,0,,,,,,,,,,,,,,
10,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8259506,45,Colin Dowlen,,,So,P,5-11,R/R,15080,10,1,,,,,,,,,0,,,,,,,,,,,,,,
11,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8272553,21,Devin Hack,,,Sr,OF,6-0,L/L,15080,26,25,0.347,0.415,0.453,11,95,33,7,,43,1,11,7,4,,7,10,2,2,2,5,1,2,
12,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8262035,19,John Downing,,,So,P,6-3,L/L,15080,4,1,,,,,,,,,0,,,,,,,,,,,,,,
13,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8276660,23,Jay Allmer,,,Sr,P,6-6,R/R,15080,25,0,,,,,,,,,0,,,,,,,,,,,,,,
14,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8270391,16,Ryan Reich,,,So,P,6-2,R/R,15080,14,14,,,,,,,,,0,,,,,,,,,,,,,,
15,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8259989,1,Jonathan Luders,,,Sr,INF,5-10,R/R,15080,52,52,0.254,0.370,0.308,29,169,43,4,1,52,1,17,9,22,,7,8,4,1,,,,3,
16,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8262390,14,Daniel Frontera,,,Jr,P,6-1,R/R,15080,9,9,,,,,,,,,0,,,,,,,,,,,,,,
17,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8266121,7,Dane Hoggard,,,Sr,UT,6-0,R/R,15080,2,0,0.000,0.000,0.000,,1,,,,0,,,,,,,,,,,,,,
18,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8267363,41,Jack Wentworth,,,Jr,OF,6-4,R/R,15080,3,0,0.000,0.000,0.000,,1,,,,0,,,,,,,1,,,,,,,
19,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8260125,13,Staus Pokrovsky,,,Sr,C,6-2,R/R,15080,50,50,0.238,0.330,0.402,30,189,45,9,2,76,6,29,20,7,2,,47,5,1,,2,1,3,
20,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8270687,36,Nick Ferri,,,So,UT,6-3,L/R,15080,26,16,0.183,0.338,0.217,9,60,11,2,,13,,8,11,3,,,16,3,1,,2,,1,
21,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8267555,8,Pat D'Amico,,,Jr,UT,6-1,R/R,15080,32,29,0.248,0.330,0.356,13,101,25,5,,36,2,14,12,1,1,1,27,3,1,1,1,,2,
22,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8267715,10,Max Viera,,,Sr,INF,5-10,R/R,15080,36,35,0.259,0.318,0.331,20,139,36,7,,46,1,11,10,2,,1,27,3,1,,6,1,1,
23,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455579,18,Justin Ford,,,Fr,UT,6-3,R/R,15080,3,0,0.000,0.333,0.000,,2,,,,0,,,,1,,,1,1,,,,,1,
24,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455590,31,Jayson Torres,,,Fr,P,6-2,R/R,15080,10,5,,,,,,,,,0,,,,,,,,,,,,,,
25,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455598,34,Gabe Cavazzoni,,,Fr,INF,5-9,R/R,15080,17,3,0.211,0.286,0.211,1,19,4,,,4,,1,2,,,1,7,,,,2,,,
26,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455601,43,Aiden Robbins,,,Fr,OF,6-2,R/R,15080,43,43,0.302,0.368,0.512,26,162,49,6,5,83,6,31,15,3,2,3,31,2,2,,10,,1,
27,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8271049,30,Cole Hansen,,,Jr,P,6-1,R/R,15080,14,13,,,,,,,,,0,,,,,,,,,,,,,,
28,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8261757,4,Zack Sylvester,,,Sr,INF,5-9,R/R,15080,52,52,0.315,0.440,0.472,37,178,56,6,2,84,6,34,30,13,4,3,27,3,4,1,11,,1,
29,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8279714,42,Michael Gillen,,,So,P,6-3,R/R,15080,18,0,,,,,,,,,0,,,,,,,,,,,,,,
30,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8279947,11,Anthony Ehly,,,So,P,6-5,R/R,15080,13,5,,,,,,,,,0,,,,,,,,,,,,,,
31,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455549,5,Danny Melnick,,,Sr,C,6-0,R/R,15080,54,54,0.294,0.336,0.450,30,218,64,20,4,98,2,26,11,4,2,2,26,4,1,,,,3,
32,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455584,26,Kyle Lyons,,,Sr,OF,5-11,R/R,15080,30,30,0.299,0.370,0.346,18,107,32,3,1,37,,15,10,2,,2,21,,2,,7,,,
33,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455621,51,Joey Calabretti,,,Fr,INF,6-2,R/R,15080,17,8,0.133,0.212,0.367,3,30,4,1,,11,2,4,2,1,,3,8,,,,,,,
34,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455556,6,Casey Cumiskey,,,Fr,INF,6-2,R/R,15080,19,5,0.303,0.361,0.394,7,33,10,,,13,1,7,3,,,,4,,,,1,,,
35,2024,2023-24,MBA,635,Seton Hall,1,I,Big East,8455564,12,Jake Walman,,,Fr,C,6-0,R/R,15080,4,0,0.000,0.500,0.000,1,1,,,,0,,,1,,,1,,,,,,,,
