,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,batting_GP,batting_GS,batting_AVG,batting_OBP,batting_SLG,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,OPP DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_GDP,RBI2out
0,2024,2023-24,MBA,386,Marist,1,I,MAAC,8271209,5,Nathan Lincoln,,,Jr,2b,5-11,,15080,14,13,0.205,0.286,0.227,4,44,9,1,,10,,2,4,1,,1,11,1,2,,3,,1,
1,2024,2023-24,MBA,386,Marist,1,I,MAAC,8276122,10,Brady Steinert,,,So,2b,6-1,,15080,31,28,0.151,0.269,0.172,14,93,14,2,,16,,8,14,1,,4,19,5,1,,3,,4,
2,2024,2023-24,MBA,386,Marist,1,I,MAAC,8263249,1,Marco Ali,,,Sr,INF,6-0,R/R,15080,30,30,0.306,0.375,0.396,23,111,34,10,,44,,18,12,2,3,1,19,6,1,,4,,5,
3,2024,2023-24,MBA,386,Marist,1,I,MAAC,8272747,0,Brian Yetter,,,Sr,P,6-0,L/R,15080,19,1,,,,,,,,,0,,,,,,,,,,,,,,
4,2024,2023-24,MBA,386,Marist,1,I,MAAC,8272819,32,Caleb Kempler,,,So,P,6-1,,15080,12,7,,,,,,,,,0,,,,,,,,,,,,,,
5,2024,2023-24,MBA,386,Marist,1,I,MAAC,8272951,23,Ethan Conrad,,,So,ph/1b,6-3,,15080,55,55,0.389,0.467,0.704,55,226,88,18,13,159,9,52,27,6,,,32,7,5,4,17,3,6,
6,2024,2023-24,MBA,386,Marist,1,I,MAAC,8259992,27,Bayram Hot,,,So,3b,6-2,,15080,55,55,0.278,0.383,0.485,30,198,55,14,3,96,7,37,29,8,5,,42,4,,4,9,1,4,
7,2024,2023-24,MBA,386,Marist,1,I,MAAC,8268562,20,Kyle Pollack,,,So,ph/c,6-0,,15080,31,30,0.217,0.309,0.255,9,106,23,1,,27,1,14,13,2,2,2,33,3,,,1,,3,
8,2024,2023-24,MBA,386,Marist,1,I,MAAC,8268715,30,Lance Koenig,,,Sr,P,6-1,R/R,15080,12,1,,,,,,,,,0,,,,,,,,,,,,,,
9,2024,2023-24,MBA,386,Marist,1,I,MAAC,8281713,18,Austin Bohlman,,,So,INF,6-0,,15080,12,10,0.212,0.325,0.485,6,33,7,,,16,3,8,5,1,1,1,9,2,,,,,2,
10,2024,2023-24,MBA,386,Marist,1,I,MAAC,8285344,77,Steven Mazza,,,So,p,6-1,,15080,7,4,,,,,,,,,0,,,,,,,,,,,,,,
11,2024,2023-24,MBA,386,Marist,1,I,MAAC,8286262,41,AJ Thomas,,,So,p,6-3,,15080,6,0,,,,,,,,,0,,,,,,,,,,,,,,
12,2024,2023-24,MBA,386,Marist,1,I,MAAC,8454700,6,Nick Buchman,,,So,P,6-2,-/R,15080,5,0,,,,,,,,,0,,,,,,,,,,,,,,
13,2024,2023-24,MBA,386,Marist,1,I,MAAC,8454754,34,Ty Morris,,,Jr,P,6-4,R/R,15080,10,1,,,,,,,,,0,,,,,,,,,,,,,,
14,2024,2023-24,MBA,386,Marist,1,I,MAAC,8454764,52,Riley Orr,,,Sr,P,6-2,R/R,15080,16,9,,,,,,,,,0,,,,,,,,,,,,,,
15,2024,2023-24,MBA,386,Marist,1,I,MAAC,8454704,7,Dylan Millman,,,So,OF,5-11,,15080,22,19,0.186,0.337,0.229,9,70,13,1,1,16,,7,13,3,,,23,2,,2,1,,2,
16,2024,2023-24,MBA,386,Marist,1,I,MAAC,8454755,32,Jack Wren,,,Sr,P,6-5,-/R,15080,17,5,,,,,,,,,0,,,,,,,,,,,,,,
