,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,batting_GP,batting_GS,batting_AVG,batting_OBP,batting_SLG,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,OPP DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_GDP,RBI2out
0,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8264267,6,Hunter Ranweiler,,,Sr,OF,6-0,L/R,15080,49,35,0.292,0.407,0.358,32,120,35,6,1,43,,17,22,2,1,5,32,2,2,1,4,,1,
1,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8264337,17,Cole Ranweiler,,,So,OF,5-10,R/R,15080,15,1,0.333,0.579,0.500,8,12,4,2,,6,,3,4,3,,,3,1,,,2,,1,
2,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8270081,25,Ryan Wickman,,,Sr,OF,6-1,R/R,15080,55,55,0.354,0.449,0.670,64,209,74,18,3,140,14,59,19,22,6,1,24,2,1,,23,1,2,
3,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8274172,12,Spencer Wright,,,Jr,P,6-2,R/R,15080,16,10,,,,,,,,,0,,,,,,,,,,,,,,
4,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8273003,36,Ryan Friedges,,,Sr,INF,6-2,R/R,15080,48,45,0.312,0.429,0.558,32,154,48,14,,86,8,48,23,10,2,3,41,,,,1,,,
5,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8274233,39,Mack Crowley,,,So,P,6-3,R/R,15080,12,7,,,,,,,,,0,,,,,,,,,,,,,,
6,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8269459,30,Mitch Gutknecht,,,Jr,P,6-2,L/L,15080,18,6,,,,,,,,,0,,,,,,,,,,,,,,
7,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8274532,5,Zach Stroh,,,Jr,C,5-11,L/R,15080,53,53,0.347,0.427,0.526,47,196,68,12,1,103,7,56,25,7,6,1,20,2,3,,12,,2,
8,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8272280,32,Aiden McGee,,,So,P,6-4,R/R,15080,10,0,,,,,,,,,0,,,,,,,,,,,,,,
9,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8281605,15,Nick Baker,,,Sr,C,5-10,R/R,15080,53,52,0.289,0.439,0.410,38,166,48,9,1,68,3,40,26,19,1,5,24,1,3,,3,,,
10,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8283170,1,Matthew Fleischhacker,,,So,INF,5-7,R/R,15080,57,56,0.288,0.444,0.429,65,198,57,14,1,85,4,30,51,6,2,4,44,3,2,1,13,,2,
11,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8284475,14,Louis Magers,,,So,P,6-5,L/R,15080,57,57,0.296,0.449,0.619,53,189,56,10,3,117,15,62,39,16,3,,46,3,4,,8,1,2,
12,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8284480,35,Adam Weed,,,Sr,OF,6-1,L/R,15080,34,21,0.265,0.474,0.471,21,68,18,5,,32,3,16,27,1,1,,18,1,1,1,,,1,
13,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8280952,29,Ethan Stade,,,So,P,6-4,L/L,15080,16,0,,,,1,,,,,0,,,,,,,,,,,,,,
14,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8281094,20,Sean Gamble,,,Sr,P,6-0,R/R,15080,20,0,,,,,,,,,0,,,,,,,,,,,,,,
15,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8283816,9,Tanner Thompson,,,So,INF,5-9,R/R,15080,36,28,0.264,0.407,0.418,27,91,24,5,,38,3,22,20,4,3,1,27,2,,,1,,1,
16,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8278931,19,Ben Irsfeld,,,So,P,5-10,R/R,15080,8,1,,,,,,,,,0,,,,,,,,,,,,,,
17,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8281439,34,Tanner Shumski,,,So,P,6-1,R/R,15080,12,0,,,,,,,,,0,,,,,,,,,,,,,,
18,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8596972,23,Sam George,,,Fr,p,-,,15080,14,6,,,,,,,,,0,,,,,,,,,,,,,,
19,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8596973,26,Aiden Hansen,,,Fr,p,-,,15080,7,0,,,,,,,,,0,,,,,,,,,,,,,,
20,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8596971,40,Chayton Fischer,,,Fr,ph,-,,15080,20,5,0.290,0.371,0.419,5,31,9,1,,13,1,2,3,1,,,6,,,1,,,,
21,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8593156,8,L. Berry,,,N/A,3b,-,,15080,43,29,0.324,0.423,0.581,33,105,34,9,3,61,4,32,14,4,,3,24,2,,1,,,2,
22,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8593172,16,UNKNOWN Matthaidess,,,Jr,p,-,,15080,13,5,,,,,,,,,0,,,,,,,,,,,,,,
23,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8593157,3,D. Kay,,,N/A,lf,-,,15080,37,22,0.247,0.358,0.528,25,89,22,5,1,47,6,19,13,3,1,2,34,2,,,3,,2,
24,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8593171,10,C. Haugen,,,Fr,p,-,,15080,20,9,0.200,0.429,0.200,1,5,1,,,1,,1,2,,,,,,,,1,,,
25,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8687226,24,Braxton Haggith,,,Fr,ph,-,,15080,2,0,0.750,0.800,1.250,3,4,3,2,,5,,3,1,,,,,,,,,,,
26,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8687006,41,Brady Koeppel,,,Fr,c,-,,15080,7,0,0.571,0.625,0.571,3,7,4,,,4,,3,,1,,,2,,,,,,,
27,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8271504,31,Derek Lilledahl,,,Jr,P,6-2,R/R,15080,13,0,,,,1,,,,,0,,,,,,,,,,,,,,
28,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8259735,11,Aidan Byrne,,,Jr,INF,6-1,R/R,15080,57,57,0.394,0.464,0.585,66,236,93,18,3,138,7,52,19,16,5,3,40,3,1,,21,,3,
29,2024,2023-24,MBA,383,Minnesota St.,2,II,NSIC,8279659,38,Taisei Yahiro,,,Sr,P,6-2,L/L,15080,18,3,0.000,0.000,0.000,1,1,,,,0,,,,,,,,,,,,,,
