,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,batting_GP,batting_GS,batting_AVG,batting_OBP,batting_SLG,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,OPP DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_GDP,RBI2out
0,2024,2023-24,MBA,32,Little Rock,1,I,OVC,8270049,30,Noah Burkey,,,Jr,P,6-2,R/R,15080,6,1,,,,,,,,,0,,,,,,,,,,,,,,
1,2024,2023-24,MBA,32,Little Rock,1,I,OVC,8272551,8,Jaxson Anderson,,,Jr,UT,6-3,L/R,15080,4,2,0.143,0.400,0.286,1,7,1,1,,2,,1,2,1,,,6,,,,,,,
2,2024,2023-24,MBA,32,Little Rock,1,I,OVC,8263469,20,Trey Hill,,,So,C,5-11,R/R,15080,18,13,0.222,0.386,0.578,11,45,10,4,,26,4,10,7,5,,,18,,,,1,,,
3,2024,2023-24,MBA,32,Little Rock,1,I,OVC,8263484,16,Jacob Weatherley,,,Sr,P,5-11,R/R,15080,24,0,,,,,,,,,0,,,,,,,,,,,,,,
4,2024,2023-24,MBA,32,Little Rock,1,I,OVC,8276743,36,Reed Willbanks,,,Sr,INF,6-0,R/R,15080,7,0,0.000,0.000,0.000,1,3,,,,0,,,,,,,1,,,,,,,
5,2024,2023-24,MBA,32,Little Rock,1,I,OVC,8269143,5,Camden Sargent,,,Sr,P,5-11,R/R,15080,2,0,,,,,,,,,0,,,,,,,,,,,,,,
6,2024,2023-24,MBA,32,Little Rock,1,I,OVC,8274008,25,Ty Rhoades,,,So,UT,6-0,L/R,15080,48,48,0.269,0.341,0.409,24,186,50,14,,76,4,32,20,1,1,,24,4,2,1,1,1,3,
7,2024,2023-24,MBA,32,Little Rock,1,I,OVC,8271952,27,Cade Medlin,,,Sr,P,6-4,R/R,15080,2,0,,,,,,,,,0,,,,,,,,,,,,,,
8,2024,2023-24,MBA,32,Little Rock,1,I,OVC,8260226,18,Preston Davis,,,Jr,P,6-3,L/R,15080,2,0,,,,,,,,,0,,,,,,,,,,,,,,
9,2024,2023-24,MBA,32,Little Rock,1,I,OVC,8262656,21,Andrew Pickering,,,Jr,OF,6-1,L/R,15080,14,4,0.217,0.280,0.261,6,23,5,1,,6,,2,2,,,,11,1,,,,1,,
10,2024,2023-24,MBA,32,Little Rock,1,I,OVC,8262711,4,Skyler Trevino,,,Sr,INF,6-2,L/R,15080,55,54,0.232,0.336,0.412,37,194,45,5,,80,10,26,22,9,1,,71,3,1,,5,,2,
