season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,batting_GP,batting_GS,batting_AVG,batting_OBP,batting_SLG,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,OPP DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_GDP,RBI2out
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8276624,13,Adam Haidermota,,,Sr,UT,5-10,R/R,15080,54,51,0.315,0.367,0.460,43,200,63,14,,92,5,43,17,1,3,7,23,2,,,,,2,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8261029,4,Ben Kim,,,Jr,OF,5-8,B/R,15080,45,27,0.287,0.437,0.489,26,94,27,3,2,46,4,18,23,2,,4,23,,,,4,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8273300,18,Micheal Blackwood,,,Jr,INF,6-1,R/R,15080,2,0,0.000,0.000,0.000,,2,,,,0,,,,,,,1,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8279026,3,Cameron Kelly,,,Jr,P,6-0,L/L,15080,1,0,,,,,,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8281559,6,Broedy Poppell,,,Jr,C,5-11,B/R,15080,54,52,0.321,0.439,0.474,33,190,61,8,,90,7,42,37,7,5,2,27,7,1,,5,,5,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8285244,16,Dallas Tease,,,Jr,P,5-11,R/R,15080,9,7,,,,,,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8281775,12,Jordan Brown,,,So,OF,6-0,R/R,15080,38,16,0.294,0.400,0.485,15,68,20,1,3,33,2,9,11,1,,,28,1,1,,3,,1,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8286682,25,Raylan Wagner,,,Sr,P,6-2,R/R,15080,12,3,,,,,,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8283084,19,Ty Jackson,,,Sr,OF,5-8,R/R,15080,47,44,0.387,0.509,0.643,47,168,65,11,4,108,8,41,39,5,2,3,25,1,2,,9,,1,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8280649,31,Grant Harrison,,,Sr,P,5-10,R/R,15080,23,0,,,,,,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8279491,1,Jalen Niles,,,Jr,INF,6-0,R/R,15080,53,52,0.250,0.356,0.326,39,184,46,7,2,60,1,25,29,2,1,3,36,4,2,,6,,3,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8280737,5,Ryan Little,,,So,INF,6-1,R/R,15080,11,4,0.250,0.286,0.250,3,20,5,,,5,,3,,1,,,3,1,,,,,1,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8279702,2,Joseph Pierini,,,Sr,INF,5-7,B/R,15080,53,51,0.270,0.367,0.393,36,178,48,11,1,70,3,26,26,3,3,1,55,4,,1,6,2,4,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8287070,34,Tre Simmons,,,Sr,P,6-1,L/L,15080,6,6,,,,,,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8287792,29,Josh Scragg,,,Sr,P,5-7,L/L,15080,15,0,,,,,,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8285995,9,Caleb Granger,,,Jr,,5-11,,15080,15,15,,,,,,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8278673,11,Trent Langley,,,Jr,P,6-1,R/R,15080,1,0,,,,,,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8288035,33,Sebastian Greico,,,Sr,INF,6-3,L/R,15080,45,44,0.333,0.449,0.654,37,159,53,12,3,104,11,51,27,9,3,,44,1,1,1,2,,1,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8594177,24,Argene Lynn,,,So,OF,6-3,R/R,15080,9,1,0.111,0.333,0.111,1,9,1,,,1,,,3,,,,4,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8592139,23,Janmikell Bastardo,,,Jr,OF,6-3,R/R,15080,53,53,0.311,0.374,0.516,55,219,68,8,8,113,7,37,19,4,1,,39,5,,,1,3,3,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8592140,26,Andrew Ginther,,,Sr,P,5-10,R/R,15080,25,0,,,,,,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8592142,20,Josue Figueroa,,,Fr,C,6-1,,15080,37,21,0.157,0.300,0.265,11,83,13,3,,22,2,11,16,1,,,24,2,,,,,2,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8593042,35,Tanner Walker,,,Jr,p,6-2,,15080,18,0,,,,,,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8593043,30,Cody Williams,,,Jr,p,6-1,,15080,24,0,,,,,,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8593062,22,Jacob Granger,,,Jr,p,6-1,,15080,15,13,,,,,,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8593063,27,Trevor Hanselman,,,Jr,p,5-10,,15080,1,1,,,,,,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8593064,14,Blake Pacheco,,,Fr,p,6-1,,15080,3,1,,,,,,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8594361,28,Reed Hoskins,,,Sr,OF,6-0,R/R,15080,7,1,0.091,0.091,0.091,,11,1,,,1,,1,,,,,5,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8594371,17,Logan Sharpton,,,Sr,p,6-4,,15080,7,0,0.000,0.000,0.000,,1,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8592141,44,Jakoby Stanley,,,Jr,INF,5-11,,15080,29,19,0.254,0.351,0.388,13,67,17,3,,26,2,9,10,,,1,10,,,,1,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8684142,36,Carson Kelly,,,Fr,P,6-0,-/L,15080,20,10,,,,,,,,,0,,,,,,,,,,,,,,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8588170,21,Evan Badger,,,Sr,C,6-2,R/R,15080,28,21,0.325,0.407,0.475,11,80,26,3,,38,3,16,10,1,,,23,1,,,1,,1,
2024,2023-24,MBA,228,Florida A&M,1,I,SWAC,8588175,7,True Fontenot,,,Sr,INF,6-2,R/R,15080,51,47,0.347,0.417,0.466,42,176,61,6,,82,5,47,16,9,5,3,21,6,1,,6,,5,
