season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,pitching_G,pitching_APP,pitching_GS,pitching_ERA,pitching_IP,pitching_CG,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_SHO,pitching_BF,pitching_AB,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SFA,pitching_PI,pitching_GO,pitching_FO,pitching_W,pitching_L,pitching_SV,pitching_KL,pitching_PK
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823834,9,Noah Lebron,,,Jr,INF,5-10,L/R,15001,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823835,2,Brody Fahr,,,Jr,INF,5-11,L/R,15001,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823836,22,Ryan Ouzts,,,Jr,UT,5-8,R/R,15001,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823838,38,Alex Flood,,,Sr,P,6-3,R/R,15001,6,6,,3.68,7.1,,4,3,3,3,9,,28,24,,,,,,1,,4,,,,122,6,5,,,,4,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823840,25,Duncan Howard,,,Jr,P,6-3,R/R,15001,14,14,14,5.68,82.1,,109,56,52,20,59,,370,342,15,1,,15,6,4,,,,2,2,"1,345",93,80,4,5,,21,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823841,43,William Farrar,,,Sr,P,6-2,R/R,15001,20,20,,6.86,21.0,,29,21,16,20,13,,110,86,3,,,1,2,2,,16,8,,2,374,22,22,,1,,2,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823842,11,Chase Hughes,,,Sr,INF,6-2,R/R,15001,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823843,31,Charlie McDaniel,,,Jr,P,6-3,L/L,15001,15,15,15,6.16,76.0,,98,67,52,16,57,,350,316,16,3,,12,2,9,,,,5,4,"1,090",87,71,4,8,,17,3
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823845,44,Kyle Merkle,,,Sr,INF,6-6,R/R,15001,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823846,21,Jay Wetherington,,,Jr,OF,5-9,L/L,15001,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823847,20,Sean Hollister,,,So,P,6-4,R/R,15001,22,22,,10.36,28.2,,52,36,33,18,24,,157,132,6,2,1,4,3,2,,24,15,1,4,575,18,39,,,,14,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823848,4,Yechiel Saint,,,So,INF,5-11,B/R,15001,19,1,,0.00,1.0,,0,,,1,1,,4,3,,,,,,,,,,,,17,,2,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823849,5,Joel  Dragoo,,,So,INF,6-2,R/R,15001,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823851,10,Eli Lazio,,,So,INF,5-10,R/R,15001,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823854,17,Daniel Eagen,,,So,P,6-4,R/R,15001,5,5,3,12.10,9.2,,24,13,13,4,11,,57,52,6,1,,,1,1,,2,2,,,191,8,8,,1,,2,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823855,37,Logan Ymker,,,Sr,P,6-8,R/R,15001,15,15,,7.71,14.0,,14,14,12,9,15,,70,53,2,,,4,1,5,,7,4,2,1,245,9,17,,2,,4,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823857,34,Colbey Klepper,,,Sr,P,6-4,R/R,15001,24,24,,7.61,23.2,,22,20,20,21,21,,123,87,1,,1,1,8,12,,16,8,2,1,384,18,28,1,3,1,6,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823858,16,Tanner Smith,,,Sr,P,6-2,R/R,15001,27,27,1,4.34,37.1,,31,20,18,16,53,,169,135,2,1,1,4,15,10,,22,11,3,5,663,21,35,1,4,8,25,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823859,1,Jack Gorman,,,Jr,INF,5-10,R/R,15001,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7823860,32,Dalton Reeves,,,Jr,C,6-5,L/R,15001,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7983659,45,Jeremiah Hampton,,,Fr,P,6-1,R/R,15001,10,10,,8.59,7.1,,9,7,7,5,10,,39,31,2,2,,1,1,3,,2,2,,,164,8,4,,,,4,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7983656,23,William Nobles,,,Fr,P,6-2,R/R,15001,4,4,,17.18,3.2,,8,7,7,5,4,,28,18,3,,,,,4,,3,2,,1,107,2,5,,,,1,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7982859,8,Jay Allred,,,Fr,OF,6-2,L/R,15001,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7982799,12,Kyle Decker,,,Sr,OF,5-11,R/R,15001,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7983676,33,Tyler Mecchella,,,Fr,P,6-3,L/L,15001,3,3,,31.50,2.0,,4,7,7,7,1,,17,9,2,,,,4,,,2,2,,1,67,3,2,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7983637,13,Jake Randolph,,,Fr,C,6-0,R/R,15001,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7983643,15,Trey  Fenderson,,,Fr,INF,6-0,R/R,15001,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7983673,29,Luke Gibson,,,Jr,P,6-0,L/L,15001,24,24,5,8.84,37.2,,43,40,37,25,34,,191,150,8,,2,6,5,13,,16,6,,3,606,25,49,,3,2,9,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7983679,6,Fenix DiGiacomo,,,So,P,6-5,R/R,15001,18,18,8,5.51,49.0,1,47,33,30,22,43,,218,184,16,1,,8,3,9,,3,1,3,,653,42,53,3,4,,9,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7983672,28,Kyle Mueller,,,Fr,P,6-4,R/R,15001,21,21,4,5.26,39.1,,46,26,23,11,32,,181,165,8,,,5,6,5,,17,8,,,654,38,44,6,1,,10,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7983667,26,Ryan Becker,,,Fr,C,6-0,R/R,15001,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7983677,35,Amman Dewberry,,,Fr,OF,6-3,L/L,15001,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7983668,27,Lorenzo Rios,,,Fr,INF,6-2,L/R,15001,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7983533,40,Mason McDaniel,,,Fr,P,6-4,L/L,15001,16,16,5,7.94,34.0,,48,31,30,7,21,,157,140,7,,,10,1,4,,8,,3,3,546,31,45,2,2,,2,4
2023,2022-23,MBA,1320,Presbyterian,1,I,Big South,7982817,7,Evan Cuervo,,,Fr,OF,6-4,L/R,15001,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
