,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,pitching_G,pitching_APP,pitching_GS,pitching_ERA,pitching_IP,pitching_CG,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_SHO,pitching_BF,pitching_AB,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SFA,pitching_PI,pitching_GO,pitching_FO,pitching_W,pitching_L,pitching_SV,pitching_KL,pitching_PK
0,2023,2022-23,MBA,450,Mount St. Mary's,1,I,MAAC,7988303,6,Brett Alvis,,,Fr,P,6-1,L/L,15001,4,4,,29.25,4.0,,11,13,13,6,3,,32,22,3,,,1,1,3,,1,,,,75,2,6,,,,1,
1,2023,2022-23,MBA,450,Mount St. Mary's,1,I,MAAC,7988313,38,JB Manarchuck,,,Fr,P,6-4,R/R,15001,10,10,3,9.67,22.1,,38,30,24,13,20,,117,102,5,,,8,3,1,,3,2,,1,368,23,18,1,2,,9,2
2,2023,2022-23,MBA,450,Mount St. Mary's,1,I,MAAC,7988377,16,Jayson Kramer,,,Sr,OF,-,,15001,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023,2022-23,MBA,450,Mount St. Mary's,1,I,MAAC,7828527,39,Blake Beal,,,Sr,P,-,,15001,5,5,,9.64,4.2,,5,5,5,6,4,,26,18,2,,,,1,1,,,,,1,93,4,5,,,,2,
4,2023,2022-23,MBA,450,Mount St. Mary's,1,I,MAAC,7828528,27,Brady Drawbaugh,,,Sr,OF,6-1,R/R,15001,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023,2022-23,MBA,450,Mount St. Mary's,1,I,MAAC,7828532,8,Shane Wockley,,,Jr,INF,6-3,L/L,15001,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023,2022-23,MBA,450,Mount St. Mary's,1,I,MAAC,7828533,25,Max Moore,,,Jr,P,6-3,L/L,15001,6,6,,9.00,10.0,,11,11,10,9,10,,51,39,1,,,1,1,2,1,6,2,1,,138,6,12,,,1,3,1
7,2023,2022-23,MBA,450,Mount St. Mary's,1,I,MAAC,7828534,13,Luke Pryor,,,Sr,P,6-3,R/R,15001,31,31,4,8.37,57.0,,51,62,53,48,41,,285,214,10,2,2,12,8,12,1,28,18,2,9,769,59,66,2,4,1,12,2
8,2023,2022-23,MBA,450,Mount St. Mary's,1,I,MAAC,7828536,20,Tyler Long,,,Jr,UT,5-10,R/R,15001,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023,2022-23,MBA,450,Mount St. Mary's,1,I,MAAC,7828537,21,"Efrain Correa, Jr.",,,Jr,C,6-0,L/R,15001,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
