,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,pitching_G,pitching_APP,pitching_GS,pitching_ERA,pitching_IP,pitching_CG,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_SHO,pitching_BF,pitching_AB,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SFA,pitching_PI,pitching_GO,pitching_FO,pitching_W,pitching_L,pitching_SV,pitching_KL,pitching_PK
0,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7978888,3,Coltin Quagliano,,,So,INF,5-10,R/R,15001,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7978892,10,John Lundgren,,,Sr,P,-,,15001,19,19,,7.83,23.0,,32,20,20,4,21,,109,98,5,4,,4,2,7,,16,5,,,404,22,21,3,2,,6,
2,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827049,29,Jack Wenninger,,,So,P,-,,15001,15,15,14,4.59,80.1,1,69,42,41,28,76,1,337,298,13,1,,10,4,7,1,,,2,2,"1,269",70,84,6,4,,26,
3,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827051,22,Xavier Watson,,,Jr,INF,-,,15001,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827053,45,Ty Rybarczyk,,,Sr,P,5-10,R/R,15001,1,1,,15.75,4.0,,6,7,7,3,3,,21,17,,,1,3,1,,,,,1,,78,2,7,,1,,2,
5,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827054,31,Ryan O'Hara,,,Jr,P,-,,15001,6,6,,9.00,5.0,,6,7,5,2,3,,25,22,3,,,2,,1,,10,4,,,96,7,5,,1,,1,
6,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827055,12,Payton Hutchings,,,Jr,P,6-0,L/L,15001,2,2,,2.70,3.1,,3,1,1,1,3,,14,13,,,,,,,,1,,,,49,2,5,,,,2,
7,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827056,13,Cal Hejza,,,Jr,INF,5-11,R/R,15001,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827058,20,Joe Glassey,,,Jr,P,6-3,R/R,15001,19,19,,4.25,42.1,,36,22,20,21,37,,186,155,12,,,6,1,6,1,15,5,4,,719,34,53,3,1,3,12,
9,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827059,24,Zak Hartleb,,,Sr,INF,-,,15001,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827060,42,Riley Gowens,,,Jr,P,-,,15001,12,12,12,6.30,60.0,,71,47,42,16,75,,271,247,15,3,,10,5,7,,,,1,,"1,039",33,67,2,3,,20,
11,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827063,23,Branden Comia,,,Sr,INF,-,,15001,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827064,4,Cam McDonald,,,Sr,UT,-,,15001,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827066,33,Connor Milton,,,Jr,OF,6-0,R/R,15001,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827067,39,Jack Crowder,,,Jr,P,6-4,R/R,15001,17,17,6,7.87,42.1,,45,37,37,19,35,,197,166,11,1,1,5,1,7,,12,6,3,2,729,46,46,3,3,,10,
15,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827070,21,Danny Doligale,,,Jr,OF,-,,15001,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827074,6,Alex Vera,,,Jr,P,6-0,L/L,15001,20,20,,5.74,31.1,,38,25,20,10,33,,149,131,5,1,1,4,3,7,1,19,8,,1,551,25,32,1,1,2,10,
17,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827075,2,Brody Harding,,,Jr,INF,5-10,L/R,15001,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827079,43,Ryan Moerman,,,So,INF,5-11,R/R,15001,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827080,40,Ben Plumley,,,So,P,6-2,R/R,15001,1,1,,13.50,0.2,,1,1,1,3,1,,6,3,1,,,,,,,,,,,23,1,,,,,1,
20,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827082,14,Gavin Bennett,,,So,C,5-11,L/R,15001,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7827084,17,Camden Janik,,,So,C,5-10,R/R,15001,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7978890,9,TJ Constertina,,,Sr,P,-,,15001,23,23,,3.50,36.0,,32,18,14,14,35,,155,134,3,1,,5,2,5,,26,5,2,,627,31,36,2,2,4,11,
23,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7978918,27,Tommy White,,,Fr,P,-,,15001,4,4,,3.00,3.0,,2,2,1,0,2,,12,12,,,,1,1,,,4,3,,,30,5,3,,,,1,
24,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7978921,34,Drake Westcott,,,Jr,INF,6-3,L/R,15001,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7978871,8,Jacob Schroeder,,,Sr,C,6-2,R/R,15001,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7978874,16,Jake Swartz,,,Fr,P,6-0,R/R,15001,13,13,9,7.68,34.0,,49,31,29,14,35,,170,142,13,1,,6,1,10,,4,2,2,2,608,24,37,2,2,,12,
27,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7978870,7,Christian Smith,,,So,OF,6-1,L/L,15001,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7978876,19,Korey Bunselmeyer,,,Jr,P,6-0,R/R,15001,21,21,,2.81,25.2,,24,14,8,17,24,,124,95,4,1,,1,3,10,,21,8,2,,462,28,16,2,2,2,9,
29,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7978898,26,Gabe Helder,,,Fr,P,6-3,R/R,15001,3,3,,7.71,2.1,,2,2,2,1,3,,12,9,1,,,1,,2,,,,,,43,2,2,,,,,
30,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7978901,35,Logan Tabeling,,,Jr,P,5-11,L/R,15001,14,14,,6.75,16.0,,17,12,12,14,13,,78,62,2,,,3,4,1,,6,3,1,,320,17,14,1,,,7,
31,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7978872,15,Julius Sanchez,,,Fr,P,6-0,R/R,15001,16,16,11,6.79,50.1,,69,43,38,28,32,,253,206,9,,2,7,9,11,,2,1,4,4,901,68,38,,5,,6,1
32,2023,2022-23,MBA,301,Illinois,1,I,Big Ten,7978875,18,Brady Banker,,,Fr,P,5-11,L/L,15001,6,6,,11.57,2.1,,4,3,3,4,,,15,9,1,,,,,,,8,4,1,1,61,3,4,,,,,
