season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,pitching_G,pitching_APP,pitching_GS,pitching_ERA,pitching_IP,pitching_CG,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_SHO,pitching_BF,pitching_AB,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SFA,pitching_PI,pitching_GO,pitching_FO,pitching_W,pitching_L,pitching_SV,pitching_KL,pitching_PK
2023,2022-23,MBA,177,DePauw,3,III,NCAC,7819712,7,Danny Sheehan,,,Sr,INF,5-8,R/R,15001,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,177,DePauw,3,III,NCAC,7819713,17,Eli Bell,,,Jr,C,6-3,R/R,15001,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,177,DePauw,3,III,NCAC,7819714,31,Dylan Perrott,,,Sr,P,6-0,R/R,15001,7,7,,8.25,12.0,,19,13,11,6,9,,67,57,4,,,4,1,1,,4,3,2,1,119,9,17,1,1,,6,
2023,2022-23,MBA,177,DePauw,3,III,NCAC,7819715,2,Joey Webster,,,Sr,INF,6-10,R/R,15001,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,177,DePauw,3,III,NCAC,7819716,30,Ben Axelrod,,,Jr,1B,5-10,R/R,15001,8,8,1,23.00,9.0,,24,26,23,4,4,,60,50,4,,,6,3,4,,2,1,,2,146,10,12,,1,,1,1
2023,2022-23,MBA,177,DePauw,3,III,NCAC,7819718,44,Chase Stratman,,,So,INF,6-1,R/R,15001,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,177,DePauw,3,III,NCAC,7819719,6,Cameron Hawk,,,Sr,P,6-0,R/R,15001,9,9,1,14.18,13.1,,26,23,21,3,5,,76,62,11,,,3,,5,,,,2,4,132,10,24,,2,,,
2023,2022-23,MBA,177,DePauw,3,III,NCAC,7819720,45,Patrick Deemer,,,Jr,P,6-4,R/L,15001,8,8,,5.06,10.2,,11,6,6,4,5,,46,37,1,,,1,3,1,,2,1,2,2,120,17,7,1,,,3,
2023,2022-23,MBA,177,DePauw,3,III,NCAC,7819721,26,Griffin Albright,,,Jr,P,6-2,R/R,15001,11,11,4,7.76,29.0,,34,33,25,29,18,,155,113,4,3,,3,5,4,,3,,7,2,413,29,37,,4,,5,1
2023,2022-23,MBA,177,DePauw,3,III,NCAC,7819722,8,Ty Sucher,,,Jr,P,5-10,R/R,15001,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,177,DePauw,3,III,NCAC,7819723,19,Brennan Roach,,,Jr,C,6-2,R/R,15001,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,177,DePauw,3,III,NCAC,7819724,16,Micaiah Furbert,,,So,OF,5-8,R/R,15001,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2022-23,MBA,177,DePauw,3,III,NCAC,7819725,3,Cameron Macon,,,Jr,INF,6-0,R/R,15001,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
