game_id,away_team_id,away_team_name,home_team_id,home_team_name,batting_team,inning,top_bot,event_text,event_num,game_datetime,stadium_name,attendance,sport_id,season,game_date
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596693,1,top,Akers struck out looking (0-2 FKK).,1,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596693,1,top,Scales struck out looking (2-2 BSBFK).,2,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596693,1,top,Sorg flied out to lf (1-1 BS).,3,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596429,1,bot,"Meier, S. hit by pitch (2-2 FFBFFFB).",4,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596429,1,bot,"Meier, S. stole second.",5,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596429,1,bot,"Markham, H walked (3-0 BBBB).",6,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596429,1,bot,"Cavill, B. doubled to center field, 2 RBI (0-0)3a Markham, H scored3a Meier, S. scored.",7,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596429,1,bot,"Bryan, B. flied out to lf (0-0).",8,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596429,1,bot,"Cavill, B. advanced to third on a wild pitch.",9,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596429,1,bot,"Janicki, J. walked (3-2 BBKBFFFB).",10,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596429,1,bot,"Watts, P. flied out to lf, SF, RBI (0-0)3a Cavill, B. scored.",11,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596429,1,bot,"Darnell, S. flied out to cf (0-0).",12,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596693,2,top,Watson lined out to cf to left center (2-1 BBK).,13,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596693,2,top,Milto doubled down the rf line (1-0 B).,14,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596693,2,top,Gnardellis singled through the left side (1-1 BF)3a Milto advanced to third.,15,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596693,2,top,"Acton singled up the middle, RBI (2-0 BB)3a Gnardellis advanced to third3a Milto scored.",16,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596693,2,top,Case flied out to rf to right center (0-0).,17,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596693,2,top,Rusch flied out to lf to left center (1-1 FB).,18,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
6300518,596693,Bellarmine Knights,596429,Troy Trojans,596429,2,bot,"Lewis, S. doubled to right center (0-1 F).",19,2025-02-16 00:00:00-05:00,"Riddle-Pace Field (Troy, AL)",2359,MBA,2025,2025-02-16
