season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597103,9083283,1,Cody Jenkins,LF,1,1,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597172,9104830,1,Joseph Hardin,3B,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597103,8900444,10,Caleb Hohman,1B,1,1,2,4,2,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,0,12,0,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597172,9104862,11,Joseph Coon,2B/SS,1,1,3,6,3,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,7,0,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597103,8895048,12,Jayden Rodriguez,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,2.0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597103,8892914,13,Cortez Saenz,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.0,5.0,5,5,3,3,5,26,2,1,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597103,9083291,15,Keller Shamburger,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.667,1.2,2,2,2,2,3,10,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597172,9104876,16,Darren Crane,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.668,3.2,4,2,2,3,3,18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597172,9104885,17,Collin May,1B/C,1,1,1,5,2,0,1,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,8,0,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597103,9083289,17,Tyler Espinosa,RF,1,1,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,4,1,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597103,8874919,2,Reed Morales,2B,1,1,1,4,1,0,0,1,0,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597172,9104839,2,Taber Childs,RF,1,1,1,2,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597103,8896019,21,Lucas Aguirre,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0,1,1,1,0,6,0,0,0,0,0,2,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597172,9104911,22,Evan Curry,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597172,8895828,23,Maxon Beasha,PR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
2025,MBA,2025-04-06T00:00:00-04:00,6345679,597103,8878868,24,George Clahane,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333,0.1,3,2,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Crusaders Field (Irving, TX)",0,597172,597103,Ozarks (AR) Eagles,Dallas Crusaders
