season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-03-23T00:00:00-04:00,6344202,596912,8887425,1,Andrew Hedgecorth,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.0,6.0,2,1,1,4,4,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Ballpark at S&T (Rolla, MO)",73,596822,596912,McKendree Bearcats,Missouri S&T Miners
2025,MBA,2025-03-23T00:00:00-04:00,6344202,596822,9220197,1,Chyran Cruse,CF,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"Ballpark at S&T (Rolla, MO)",73,596822,596912,McKendree Bearcats,Missouri S&T Miners
2025,MBA,2025-03-23T00:00:00-04:00,6344202,596822,9220201,13,Sage McMinn,1B,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,7,0,0,0,0,0,0,0,0.0,"Ballpark at S&T (Rolla, MO)",73,596822,596912,McKendree Bearcats,Missouri S&T Miners
2025,MBA,2025-03-23T00:00:00-04:00,6344202,596822,9220261,14,Noah Shuman,3B,1,1,0,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0.0,"Ballpark at S&T (Rolla, MO)",73,596822,596912,McKendree Bearcats,Missouri S&T Miners
2025,MBA,2025-03-23T00:00:00-04:00,6344202,596912,9115089,15,Garrett Meyer,RF,1,1,2,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Ballpark at S&T (Rolla, MO)",73,596822,596912,McKendree Bearcats,Missouri S&T Miners
2025,MBA,2025-03-23T00:00:00-04:00,6344202,596912,9115090,16,Bricen Smith,2B,1,1,1,3,1,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,0,0,0,0,0,0,0,0.0,"Ballpark at S&T (Rolla, MO)",73,596822,596912,McKendree Bearcats,Missouri S&T Miners
2025,MBA,2025-03-23T00:00:00-04:00,6344202,596822,9220247,18,Ben Vaughn,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Ballpark at S&T (Rolla, MO)",73,596822,596912,McKendree Bearcats,Missouri S&T Miners
2025,MBA,2025-03-23T00:00:00-04:00,6344202,596822,9220260,19,Andrew Rhorer,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.332,2.1,5,5,5,0,1,14,0,0,0,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Ballpark at S&T (Rolla, MO)",73,596822,596912,McKendree Bearcats,Missouri S&T Miners
2025,MBA,2025-03-23T00:00:00-04:00,6344202,596912,8898196,19,Drew Baugus,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Ballpark at S&T (Rolla, MO)",73,596822,596912,McKendree Bearcats,Missouri S&T Miners
2025,MBA,2025-03-23T00:00:00-04:00,6344202,596822,9220199,22,Isaiah Hoelscher,RF,1,1,0,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Ballpark at S&T (Rolla, MO)",73,596822,596912,McKendree Bearcats,Missouri S&T Miners
