season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-03-30T00:00:00-04:00,6345150,596755,8891336,0,Noah Mildren,SS,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,"Kovalick Field (West Liberty, WV)",135,596755,596964,West Liberty Hilltoppers,Concord Mountain Lions
2025,MBA,2025-03-30T00:00:00-04:00,6345150,596755,8882730,1,Kobe Hill,CF,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Kovalick Field (West Liberty, WV)",135,596755,596964,West Liberty Hilltoppers,Concord Mountain Lions
2025,MBA,2025-03-30T00:00:00-04:00,6345150,596964,8883756,12,AJ Strickland,1B,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.0,"Kovalick Field (West Liberty, WV)",135,596755,596964,West Liberty Hilltoppers,Concord Mountain Lions
2025,MBA,2025-03-30T00:00:00-04:00,6345150,596755,8875832,12,Jacob Sherman,RF,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Kovalick Field (West Liberty, WV)",135,596755,596964,West Liberty Hilltoppers,Concord Mountain Lions
2025,MBA,2025-03-30T00:00:00-04:00,6345150,596964,9214855,14,Nick DiSanti,SS,1,1,1,4,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,0,0,0,0,0,1,0,0.0,"Kovalick Field (West Liberty, WV)",135,596755,596964,West Liberty Hilltoppers,Concord Mountain Lions
2025,MBA,2025-03-30T00:00:00-04:00,6345150,596964,9214859,16,Matthew DiSanti,1B,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,0,12,0,0,0,0,0,2,0,0.0,"Kovalick Field (West Liberty, WV)",135,596755,596964,West Liberty Hilltoppers,Concord Mountain Lions
2025,MBA,2025-03-30T00:00:00-04:00,6345150,596964,9214860,17,Kerry Collins,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Kovalick Field (West Liberty, WV)",135,596755,596964,West Liberty Hilltoppers,Concord Mountain Lions
2025,MBA,2025-03-30T00:00:00-04:00,6345150,596964,9214867,23,Austin Heart,C,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,6,0,0,0,0,0,0,0,0.0,"Kovalick Field (West Liberty, WV)",135,596755,596964,West Liberty Hilltoppers,Concord Mountain Lions
2025,MBA,2025-03-30T00:00:00-04:00,6345150,596755,9217348,23,William Glick,DH,1,1,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Kovalick Field (West Liberty, WV)",135,596755,596964,West Liberty Hilltoppers,Concord Mountain Lions
2025,MBA,2025-03-30T00:00:00-04:00,6345150,596964,9214868,24,Tyler Livingston,3B,1,1,1,2,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Kovalick Field (West Liberty, WV)",135,596755,596964,West Liberty Hilltoppers,Concord Mountain Lions
