season,season_name,sport_id,ncaa_division,ncaa_division_formatted,team_conference_name,school_id,school_name,player_id,player_jersey_num,player_full_name,player_first_name,player_last_name,player_class,player_positions,player_height_string,player_weight,player_batting_hand,player_throwing_hand,player_hometown,player_high_school,player_G,player_GS,player_url
2023,2022-23,MBA,3,III,Great Northeast,2798,Albertus Magnus,8015609,23,Justin Marks,Justin,Marks,Fr.,UT,6-3,,LEFT,LEFT,"Beacon Falls, CT",Woodland Regional,6,6,https://stats.ncaa.org/players/8015609
2023,2022-23,MBA,3,III,Great Northeast,2798,Albertus Magnus,7816033,19,Bobby Arent,Bobby,Arent,So.,INF,5-8,,RIGHT,RIGHT,"Ridgefield, CT",Ridgefield,33,32,https://stats.ncaa.org/players/7816033
2023,2022-23,MBA,3,III,Great Northeast,2798,Albertus Magnus,7816034,14,Nick Kownack,Nick,Kownack,Jr.,P,6-3,,RIGHT,RIGHT,"Schenectady, NY",Notre Dame - Bishop Gibbons,3,0,https://stats.ncaa.org/players/7816034
2023,2022-23,MBA,3,III,Great Northeast,2798,Albertus Magnus,7816036,24,Alex Kozlowski,Alex,Kozlowski,Sr.,UT,5-11,,RIGHT,RIGHT,"Shelton, CT",Shelton,25,20,https://stats.ncaa.org/players/7816036
2023,2022-23,MBA,3,III,Great Northeast,2798,Albertus Magnus,7816037,1,Caden Cloutier,Caden,Cloutier,Sr.,P,-,,,,,,12,0,https://stats.ncaa.org/players/7816037
2023,2022-23,MBA,3,III,Great Northeast,2798,Albertus Magnus,7816039,44,Zack Fenn,Zack,Fenn,Jr.,P,5-8,,LEFT,LEFT,"Oakville, CT",Watertown,15,0,https://stats.ncaa.org/players/7816039
2023,2022-23,MBA,3,III,Great Northeast,2798,Albertus Magnus,7816042,34,Sean Jefferson,Sean,Jefferson,Sr.,UT,6-0,,LEFT,RIGHT,,,34,34,https://stats.ncaa.org/players/7816042
2023,2022-23,MBA,3,III,Great Northeast,2798,Albertus Magnus,7816045,11,Tristan Smith,Tristan,Smith,Sr.,P,-,,,,,,12,3,https://stats.ncaa.org/players/7816045
2023,2022-23,MBA,3,III,Great Northeast,2798,Albertus Magnus,7816047,8,Tyler Baldwin,Tyler,Baldwin,Jr.,P,5-7,,RIGHT,RIGHT,"Cromwell, CT",Cromwell,7,6,https://stats.ncaa.org/players/7816047
2023,2022-23,MBA,3,III,Great Northeast,2798,Albertus Magnus,7816048,10,Anthony Broadhurst,Anthony,Broadhurst,Sr.,C,-,,,,,,20,17,https://stats.ncaa.org/players/7816048
