game_id,away_team_id,away_team_name,home_team_id,home_team_name,batting_team,inning,top_bot,event_text,event_num,game_datetime,stadium_name,attendance,sport_id
6356933,596799,Trevecca Nazarene Trojans,596733,Lenoir-Rhyne Bears,596799,1,top,J. Parliment singled to center field.,1,2025-02-02T00:00:00-05:00,"Durham Field (Hickory, NC)",0,MBA
6356933,596799,Trevecca Nazarene Trojans,596733,Lenoir-Rhyne Bears,596799,1,top,B. Maciak grounded out to 1b unassisted3a J. Parliment advanced to second.,2,2025-02-02T00:00:00-05:00,"Durham Field (Hickory, NC)",0,MBA
6356933,596799,Trevecca Nazarene Trojans,596733,Lenoir-Rhyne Bears,596799,1,top,A. Lawrence struck out swinging.,3,2025-02-02T00:00:00-05:00,"Durham Field (Hickory, NC)",0,MBA
6356933,596799,Trevecca Nazarene Trojans,596733,Lenoir-Rhyne Bears,596799,1,top,L. Dymond popped up to 1b.,4,2025-02-02T00:00:00-05:00,"Durham Field (Hickory, NC)",0,MBA
6356933,596799,Trevecca Nazarene Trojans,596733,Lenoir-Rhyne Bears,596733,1,bot,M. Wainwrigh singled to center field.,5,2025-02-02T00:00:00-05:00,"Durham Field (Hickory, NC)",0,MBA
6356933,596799,Trevecca Nazarene Trojans,596733,Lenoir-Rhyne Bears,596733,1,bot,T. Bradley popped up to 3b.,6,2025-02-02T00:00:00-05:00,"Durham Field (Hickory, NC)",0,MBA
6356933,596799,Trevecca Nazarene Trojans,596733,Lenoir-Rhyne Bears,596733,1,bot,M. Wainwrigh stole second.,7,2025-02-02T00:00:00-05:00,"Durham Field (Hickory, NC)",0,MBA
6356933,596799,Trevecca Nazarene Trojans,596733,Lenoir-Rhyne Bears,596733,1,bot,C. Laskowski singled to first base3a M. Wainwrigh advanced to third.,8,2025-02-02T00:00:00-05:00,"Durham Field (Hickory, NC)",0,MBA
6356933,596799,Trevecca Nazarene Trojans,596733,Lenoir-Rhyne Bears,596733,1,bot,C. Laskowski stole second.,9,2025-02-02T00:00:00-05:00,"Durham Field (Hickory, NC)",0,MBA
6356933,596799,Trevecca Nazarene Trojans,596733,Lenoir-Rhyne Bears,596733,1,bot,S. Carricato struck out swinging.,10,2025-02-02T00:00:00-05:00,"Durham Field (Hickory, NC)",0,MBA
