game_id,away_team_id,away_team_name,home_team_id,home_team_name,batting_team,inning,top_bot,event_text,event_num,game_datetime,stadium_name,attendance,sport_id,season
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,1,top,Casillas grounded out to 3b (1-1).,1,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,1,top,Voit singled through the left side (2-2).,2,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,1,top,Ybarra lined out to cf (2-0).,3,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,1,top,Voit stole second.,4,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,1,top,Turner walked (3-2).,5,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,1,top,Caruso grounded out to ss (0-1).,6,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596653,1,bot,CHOI flied out to lf to left center (2-2).,7,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596653,1,bot,L-COOK grounded out to 2b (1-0).,8,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596653,1,bot,"B-ANDERSON homered to right center, RBI (1-0).",9,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596653,1,bot,SUTTER walked (3-1).,10,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596653,1,bot,MANIAS struck out swinging (0-2).,11,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,2,top,Spear grounded out to 2b (1-2).,12,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,2,top,"Rogers, W. grounded out to 2b (2-2).",13,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,2,top,Hamchuk struck out swinging (1-2).,14,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596653,2,bot,SPENCE singled to left center (0-1).,15,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596653,2,bot,RUSSELL lined out to lf (2-1).,16,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596653,2,bot,ROGERS grounded into double play 3b to 2b to 1b (1-1)3a SPENCE out on the play.,17,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,3,top,Rausch walked (3-2).,18,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,3,top,"Casillas singled to left field, advanced to second on the throw (2-1)3a Rausch advanced to third.",19,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,3,top,Voit intentionally walked.,20,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,3,top,"Ybarra singled through the left side, 2 RBI (1-0)3a Voit advanced to third3a Casillas scored3a Rausch scored.",21,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,3,top,"Turner singled up the middle, RBI (1-2)3a Ybarra advanced to second3a Voit scored.",22,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,3,top,Caruso flied out to rf (0-0)3a Ybarra advanced to third.,23,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,3,top,"Spear reached on a fielder's choice to first base, RBI (0-0)3a Turner out at second 1b to ss3a Ybarra scored.",24,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596602,3,top,"Rogers, W. popped up to 2b (2-1).",25,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596653,3,bot,GILL flied out to lf to left center (0-1).,26,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596653,3,bot,CHOI walked (3-2).,27,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596653,3,bot,L-COOK lined out to ss (1-1).,28,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596653,3,bot,CHOI stole second.,29,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
6302139,596602,Michigan Wolverines,596653,Purdue Boilermakers,596653,3,bot,B-ANDERSON grounded out to 2b (0-1).,30,2025-03-21T00:00:00-04:00,"Alexander Field (West Lafayette, IN)",1220,MBA,2025
