season,season_name,sport_id,ncaa_division,ncaa_division_formatted,team_conference_name,school_id,school_name,player_id,player_jersey_num,player_full_name,player_first_name,player_last_name,player_class,player_positions,player_height_string,player_weight,player_batting_hand,player_throwing_hand,player_hometown,player_high_school,player_G,player_GS,player_url
2026,2025-26,MBA,1,I,WAC,2,Abilene Christian,9677596,24,David Jeon,David,Jeon,Sr.,P,6-0,,RIGHT,RIGHT,"Coppell, TX",Coppell HS,7,0,https://stats.ncaa.org/players/9677596
2026,2025-26,MBA,1,I,WAC,2,Abilene Christian,9678212,15,Luke Baier,Luke,Baier,Sr.,C,6-5,,LEFT,RIGHT,"Wenatchee, WA",Wenatchee HS,0,0,https://stats.ncaa.org/players/9678212
2026,2025-26,MBA,1,I,WAC,2,Abilene Christian,9678230,12,Sam Hardcastle,Sam,Hardcastle,Sr.,INF,6-3,,RIGHT,RIGHT,"Richmond, TX",Foster HS,18,13,https://stats.ncaa.org/players/9678230
2026,2025-26,MBA,1,I,WAC,2,Abilene Christian,9678969,99,Maddox Miesse,Maddox,Miesse,Sr.,C,6-0,,RIGHT,RIGHT,"Adkins, TX",East Central HS,12,9,https://stats.ncaa.org/players/9678969
2026,2025-26,MBA,1,I,WAC,2,Abilene Christian,9679575,14,Diego Cardenas,Diego,Cardenas,Sr.,INF,6-1,,LEFT,RIGHT,"El Paso, TX",Riverside HS,25,25,https://stats.ncaa.org/players/9679575
2026,2025-26,MBA,1,I,WAC,2,Abilene Christian,9681163,45,Brett Lanman,Brett,Lanman,Jr.,P,6-5,,LEFT,LEFT,"Fairview, TX",Lovejoy HS,6,6,https://stats.ncaa.org/players/9681163
2026,2025-26,MBA,1,I,WAC,2,Abilene Christian,9683532,3,Cade McGarrh,Cade,McGarrh,Sr.,INF,6-3,,LEFT,RIGHT,"Frisco, TX",Liberty HS,8,6,https://stats.ncaa.org/players/9683532
2026,2025-26,MBA,1,I,WAC,2,Abilene Christian,9685631,5,Nick Arias,Nick,Arias,Sr.,INF,5-11,,RIGHT,RIGHT,"Tucson, AZ",Tucson HS,20,18,https://stats.ncaa.org/players/9685631
2026,2025-26,MBA,1,I,WAC,2,Abilene Christian,9691164,21,OJ Gonzalez,OJ,Gonzalez,So.,P,6-0,,RIGHT,RIGHT,"Lakeway, TX",Lake Travis HS,6,0,https://stats.ncaa.org/players/9691164
2026,2025-26,MBA,1,I,WAC,2,Abilene Christian,9693425,10,Brady Gray,Brady,Gray,So.,C,6-0,,BOTH,RIGHT,"Farmersville, TX",Farmersville HS,19,17,https://stats.ncaa.org/players/9693425
2026,2025-26,MBA,1,I,WAC,2,Abilene Christian,9696510,8,Grant Watkins,Grant,Watkins,Sr.,INF,6-2,,LEFT,RIGHT,"Los Alamos, NM",Los Alamos HS,25,25,https://stats.ncaa.org/players/9696510
2026,2025-26,MBA,1,I,WAC,2,Abilene Christian,9697892,27,Braden Regala,Braden,Regala,So.,OF,5-8,,BOTH,LEFT,"Abilene, TX",Wylie HS,16,13,https://stats.ncaa.org/players/9697892
2026,2025-26,MBA,1,I,WAC,2,Abilene Christian,9697922,28,Reese Borho,Reese,Borho,Jr.,OF,6-0,,LEFT,LEFT,"Abilene, TX",Wylie HS,17,9,https://stats.ncaa.org/players/9697922
