sport_id,game_id,team_id,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%
MBA,6339196,596785,28,2,5,0,0,8,1,2,2,1,1,0,8,0,3,0,0,0,0,8.333,7,3,3,2,6,34,3,0,0,0,1,0,0,0,0,0,1,3,0,0,25,12,37,0,0,0,1,0,0,0,1.0
MBA,6339196,596832,31,3,7,3,0,10,0,3,2,0,1,0,6,0,0,0,1,0,3,9.001,5,2,2,2,8,32,0,0,0,1,0,1,0,0,0,0,1,0,0,0,27,7,34,0,0,1,0,3,0,0,0.0
MBA,6339197,596825,22,7,4,0,0,4,0,5,6,1,0,0,8,0,0,0,1,0,4,7.0,5,5,3,6,10,35,2,0,0,1,0,2,0,0,0,0,1,5,0,0,21,2,25,2,0,0,0,0,0,0,
MBA,6339197,596866,26,5,5,2,0,10,1,3,6,2,1,0,10,0,0,0,0,0,5,6.0,4,7,7,6,8,29,0,0,0,0,2,1,0,3,3,0,0,4,0,0,18,4,23,1,0,0,1,0,0,0,1.0
MBA,6339198,596739,45,16,20,3,1,25,0,14,7,1,0,0,7,0,2,1,0,0,4,9.0,8,3,3,1,6,35,3,0,0,0,0,0,0,1,0,0,2,1,0,0,27,9,37,1,0,0,0,0,5,0,
MBA,6339198,596792,32,3,8,3,0,11,0,3,1,0,2,0,6,2,0,0,0,0,1,8.998,20,16,12,7,7,53,3,1,0,0,3,1,0,7,4,0,0,4,0,1,26,13,41,2,0,0,0,2,0,0,0.0
MBA,6339200,596752,31,4,7,1,0,8,0,4,4,0,0,0,11,0,0,0,0,0,3,8.0,14,14,12,9,8,50,3,0,0,2,4,2,0,8,5,0,0,0,0,0,24,6,32,2,0,0,2,1,0,0,1.0
MBA,6339200,596776,39,14,14,3,0,23,2,12,9,2,0,0,8,0,1,0,2,0,0,8.0,7,4,4,4,11,35,1,0,0,0,0,0,0,3,0,0,0,3,0,0,24,3,27,0,0,0,0,0,0,0,
MBA,6339202,596907,37,4,9,0,0,18,3,4,2,1,0,0,8,0,0,0,1,0,1,9.0,12,7,7,5,9,43,1,0,0,3,2,2,1,6,1,1,1,2,0,1,26,7,33,0,0,0,1,2,0,0,0.0
MBA,6339202,596966,34,7,12,1,0,22,3,7,5,2,1,1,9,0,2,1,1,1,2,9.001,9,4,4,2,8,40,0,0,0,3,0,1,0,1,0,0,0,1,0,0,26,6,33,1,0,0,1,0,0,0,1.0
MBA,6339203,596731,26,7,7,1,0,14,2,7,5,1,0,1,5,1,0,0,0,0,3,6.997999999999999,21,17,17,7,7,47,3,0,0,8,0,0,0,1,0,0,0,3,0,0,21,8,29,0,0,0,0,0,6,0,
MBA,6339203,596766,40,17,21,3,0,48,8,17,7,0,0,0,7,2,0,0,0,0,3,7.0,7,7,7,5,5,33,1,0,0,2,0,1,0,3,1,1,0,3,0,0,21,9,30,0,0,0,0,0,3,0,
MBA,6339204,596768,27,3,4,0,0,4,0,2,8,1,0,0,12,1,0,0,4,0,0,9.0,8,2,2,3,6,37,1,0,0,1,1,1,0,1,0,0,0,0,0,0,27,7,34,0,0,0,0,1,3,0,0.0
MBA,6339204,596911,33,2,8,1,0,12,1,1,3,1,0,0,6,1,1,0,0,0,0,8.0,4,3,3,8,12,36,0,0,0,0,2,1,0,2,0,0,0,0,0,0,24,5,29,0,0,0,4,0,3,0,1.0
MBA,6339207,596769,33,4,8,1,0,12,1,4,6,3,1,1,5,0,0,0,0,0,2,7.999,9,10,8,7,8,44,1,0,0,0,1,5,0,0,0,1,0,0,0,0,24,12,38,2,0,1,3,1,3,0,1.0
MBA,6339207,596828,31,10,9,1,0,10,0,9,7,5,0,1,8,1,1,0,3,0,0,9.001,8,4,4,6,5,44,1,0,0,1,3,3,0,0,0,1,1,2,0,0,26,4,30,0,0,0,0,0,0,0,
MBA,6339208,596741,37,10,9,1,0,19,3,10,1,3,1,0,12,0,0,0,3,0,5,9.0,8,3,3,1,5,36,0,0,0,0,1,0,0,2,0,0,0,2,0,0,27,13,41,1,0,0,0,0,2,0,
MBA,6339208,596842,35,3,8,0,0,8,0,3,1,0,0,0,5,1,0,0,0,0,2,9.0,9,10,8,1,12,42,1,0,0,3,1,3,0,0,0,0,1,5,0,0,27,5,34,2,0,0,3,0,0,0,1.0
MBA,6339209,596754,27,0,7,0,0,7,0,0,4,1,0,0,5,1,1,1,0,0,1,7.668,9,10,9,7,3,40,2,2,0,0,0,0,0,0,0,0,2,0,0,0,23,4,28,1,0,0,0,0,0,0,
MBA,6339209,596782,31,10,9,2,2,15,0,10,7,0,2,0,3,0,0,0,0,0,0,8.0,7,0,0,4,5,32,0,0,0,0,0,1,0,0,0,0,0,1,0,1,24,12,36,0,0,0,0,1,3,0,0.0
MBA,6339211,596746,28,4,7,1,0,8,0,2,5,0,0,0,8,2,0,0,2,0,5,9.0,4,0,0,0,6,31,0,0,0,0,0,1,0,0,0,0,0,1,0,1,26,9,35,0,0,0,0,1,0,0,0.0
MBA,6339211,596948,30,0,4,0,0,4,0,0,0,1,0,0,6,0,1,1,0,0,1,8.0,7,4,1,5,8,33,1,0,0,0,2,0,0,0,0,0,0,5,0,0,24,13,39,2,0,0,2,0,4,0,1.0
MBA,6339212,596870,36,9,8,2,0,10,0,7,7,2,0,0,8,1,0,0,1,1,3,9.0,10,2,2,2,6,40,3,0,0,0,0,1,1,0,0,1,0,3,0,0,26,5,31,0,0,0,0,0,0,0,
