season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,pitching_G,pitching_APP,pitching_GS,pitching_ERA,pitching_IP,pitching_CG,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_SHO,pitching_BF,pitching_AB,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SFA,pitching_PI,pitching_GO,pitching_FO,pitching_W,pitching_L,pitching_SV,pitching_KL,pitching_PK
2022,2021-22,MBA,30002,Trevecca Nazarene,2,II,G-MAC,7330899,20,David Milam,,,So,C,6-0,L/R,14941,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30002,Trevecca Nazarene,2,II,G-MAC,7331352,10,Andru Becker,,,So,OF,5-10,L/L,14941,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30002,Trevecca Nazarene,2,II,G-MAC,7332790,32,Carson McClure,,,Sr,P,-,,14941,2,2,,162.00,0.1,,4,7,6,4,1,,10,6,,,,2,1,,,,,,,43,,,,,,,
2022,2021-22,MBA,30002,Trevecca Nazarene,2,II,G-MAC,7335534,47,Brooks Helton,,,So,P,5-11,R/R,14941,15,15,,3.49,28.1,,23,22,11,16,34,,129,109,3,,,8,3,2,,2,2,2,,501,16,32,5,1,1,13,
2022,2021-22,MBA,30002,Trevecca Nazarene,2,II,G-MAC,7340792,12,Daniel Lucas,,,So,INF,5-11,R/R,14941,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30002,Trevecca Nazarene,2,II,G-MAC,7341091,33,Tarver Hayslip,,,So,OF,-,,14941,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30002,Trevecca Nazarene,2,II,G-MAC,7344019,4,Davis Jackson,,,So,P,-,,14941,12,12,3,4.93,42.0,,52,28,23,5,30,,187,176,11,,1,7,3,4,,1,1,,2,597,34,54,4,,,16,1
2022,2021-22,MBA,30002,Trevecca Nazarene,2,II,G-MAC,7345220,43,Cole Alsup,,,Jr,P,-,,14941,9,9,2,11.05,7.1,,16,10,9,4,4,,45,36,,,,3,3,3,,,,,2,154,7,10,1,,,,
2022,2021-22,MBA,30002,Trevecca Nazarene,2,II,G-MAC,7345372,2,Braden Reece,,,So,INF,6-1,R/R,14941,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30002,Trevecca Nazarene,2,II,G-MAC,7345941,29,Hunter Davis,,,Jr,P,5-8,R/R,14941,7,7,,10.80,5.0,,14,7,6,,2,,30,29,3,1,,,1,1,,,,,,83,8,4,,,,2,
2022,2021-22,MBA,30002,Trevecca Nazarene,2,II,G-MAC,7351422,8,Shawn Wallwork,,,So,INF,6-1,L/R,14941,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
