season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,pitching_G,pitching_APP,pitching_GS,pitching_ERA,pitching_IP,pitching_CG,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_SHO,pitching_BF,pitching_AB,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SFA,pitching_PI,pitching_GO,pitching_FO,pitching_W,pitching_L,pitching_SV,pitching_KL,pitching_PK
2022,2021-22,MBA,23260,Spalding,3,III,SLIAC,7332606,2,Michael Newsom,,,So,INF,5-9,R/R,14941,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,23260,Spalding,3,III,SLIAC,7335650,20,Jahlyn Mckie,,,So,OF,5-9,R/R,14941,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,23260,Spalding,3,III,SLIAC,7341468,31,Jacob Spanyer,,,So,OF,5-9,L/L,14941,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,23260,Spalding,3,III,SLIAC,7341853,11,Cody Hupp,,,Jr,P,6-0,L/L,14941,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,23260,Spalding,3,III,SLIAC,7343020,28,Clay Burton,,,So,P,6-2,R/R,14941,12,12,11,1.76,56.1,,51,29,11,25,43,,248,221,10,1,,3,9,1,,,,,1,640,76,41,3,3,,20,2
2022,2021-22,MBA,23260,Spalding,3,III,SLIAC,7350007,25,Adam Weining,,,Sr,P,6-3,R/R,14941,18,18,,4.76,34.0,,33,23,18,7,18,,152,130,6,,,2,3,8,,5,1,4,3,336,36,45,1,2,1,8,
2022,2021-22,MBA,23260,Spalding,3,III,SLIAC,7350014,4,Marcus Collins,,,Jr,INF,5-11,R/R,14941,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,23260,Spalding,3,III,SLIAC,7351098,19,Dryden Schroeder,,,So,C,6-3,R/R,14941,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,23260,Spalding,3,III,SLIAC,7352970,23,Cameron Spencer,,,Sr,INF,-,,14941,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,23260,Spalding,3,III,SLIAC,7353274,29,Michael Speck,,,Sr,OF,5-10,R/R,14941,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,23260,Spalding,3,III,SLIAC,7353912,44,Garrett Mathews,,,Jr,p,6-5,L/R,14941,12,12,9,6.02,40.1,,40,30,27,25,52,,188,156,7,2,,5,4,3,,,,,4,405,31,34,3,3,,20,
