season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,pitching_G,pitching_APP,pitching_GS,pitching_ERA,pitching_IP,pitching_CG,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_SHO,pitching_BF,pitching_AB,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SFA,pitching_PI,pitching_GO,pitching_FO,pitching_W,pitching_L,pitching_SV,pitching_KL,pitching_PK
2022,2021-22,MBA,392,Maryland,1,I,Big Ten,7331407,10,Will Glock,,,Jr,P,-,,14941,20,20,,5.40,18.1,,21,11,11,12,15,,85,69,1,,,4,7,1,1,21,14,1,2,306,20,15,1,,1,7,
2022,2021-22,MBA,392,Maryland,1,I,Big Ten,7332242,14,Troy Schreffler Jr.,,,Jr,OF,-,,14941,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,392,Maryland,1,I,Big Ten,7333111,6,Matthew Shaw,,,So,INF,-,,14941,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,392,Maryland,1,I,Big Ten,7333543,41,Bobby Zmarzlak,,,Jr,OF,-,,14941,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,392,Maryland,1,I,Big Ten,7336891,8,Kevin Keister,,,So,INF,5-9,,14941,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,392,Maryland,1,I,Big Ten,7338136,37,Logan Ott,,,So,P,5-11,,14941,14,14,8,5.86,50.2,,54,33,33,11,25,,218,202,9,,1,8,1,4,,,,1,,722,54,67,2,,1,4,1
2022,2021-22,MBA,392,Maryland,1,I,Big Ten,7338703,44,Nigel Belgrave,,,So,P,-,,14941,16,16,,7.50,18.0,,14,15,15,22,25,,94,66,2,1,,2,3,6,1,5,,,,362,20,5,2,,3,10,1
2022,2021-22,MBA,392,Maryland,1,I,Big Ten,7340677,4,Maxwell Costes,,,Sr,OF,-,,14941,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,392,Maryland,1,I,Big Ten,7341074,39,Gavin Stellpflug,,,So,P,6-6,R/R,14941,10,10,,11.70,10.0,,16,16,13,6,9,,53,45,8,,,3,2,1,,,,1,,204,12,8,,,,2,
2022,2021-22,MBA,392,Maryland,1,I,Big Ten,7344912,9,Riley Langerman,,,Sr,C,-,R/R,14941,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
