season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,batting_GP,batting_GS,batting_AVG,batting_OBP,batting_SLG,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,OPP DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_GDP,RBI2out
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7331168,42,Jonathan Labarbero,,,So,INF,5-11,R/R,14940,29,18,0.177,0.373,0.403,13,62,11,2,,25,4,8,16,4,1,,28,,,,4,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7332328,17,Alex Cornell,,,Jr,P,6-2,R/R,14940,1,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7333019,32,Jared Marshman,,,Jr,P,6-1,L/R,14940,13,12,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7335264,45,Dylan Lubinski,,,So,P,6-0,R/R,14940,8,4,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7336769,2,Carter Chasanov,,,Sr,OF,5-10,R/R,14940,45,45,0.330,0.402,0.571,31,182,60,11,3,104,9,30,20,4,3,3,19,3,,,7,1,3,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7338195,47,Brandon Walters,,,Sr,P,6-5,R/R,14940,6,2,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7338267,9,Brandon McGaw,,,Jr,P,6-1,R/R,14940,3,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7338908,20,Nate Baranski,,,Jr,P,6-2,R/R,14940,7,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7339254,19,Kolby Barrow,,,So,P,6-0,R/R,14940,11,4,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7339355,41,Mason Keene,,,So,P,5-7,L/L,14940,13,0,,,,2,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7340955,40,Jacob Reifer,,,So,OF,5-10,R/R,14940,6,0,0.500,0.571,0.500,3,6,3,,,3,,,1,,,,,,,,1,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7343972,49,Zach Steen,,,So,P,6-1,R/R,14940,5,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7344300,28,Nick Heubel,,,So,P,6-1,R/R,14940,2,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7349161,6,Mike Cacioppo,,,So,P,6-1,R/R,14940,2,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7349691,21,Logan Hile,,,Jr,P,6-0,L/L,14940,10,2,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7352386,23,Tyler Wiik,,,Sr,C,5-11,R/R,14940,15,8,0.250,0.364,0.429,3,28,7,2,,12,1,7,3,2,,,15,,,,1,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7353206,12,Anthony Viggiano,,,Sr,INF,6-1,R/R,14940,37,37,0.263,0.368,0.459,29,133,35,11,,61,5,25,24,1,5,,35,4,,,2,,2,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7353872,46,Michael Standen,,,So,P,6-1,L/L,14940,11,9,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7355883,38,Steve Brady,,,Jr,P,6-4,R/R,14940,1,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7357397,44,Wyatt Metzger,,,So,OF,6-0,R/R,14940,24,23,0.253,0.367,0.320,12,75,19,2,,24,1,11,11,3,1,1,23,2,,1,4,,2,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7357523,50,Matt Vernieri,,,So,P,6-0,R/R,14940,13,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7560973,8,Kelly Holdren,,,Sr,P,5-11,-/R,14940,11,1,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7560986,24,Kyle Ofier,,,Sr,INF,6-0,B/R,14940,44,44,0.296,0.424,0.698,43,162,48,8,,113,19,44,36,2,3,,46,,,,3,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7560992,4,Bryce Porter,,,So,INF,6-1,R/R,14940,24,13,0.340,0.478,0.491,6,53,18,5,,26,1,13,12,2,,1,14,3,,,,,3,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7560993,5,Cole Coolbaugh,,,So,P,5-10,R/R,14940,4,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7561002,7,Brady Gibble,,,So,OF,6-3,L/L,14940,42,36,0.283,0.408,0.567,39,127,36,10,1,72,8,26,26,2,2,2,41,1,1,,12,,1,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7561007,11,Jake Reed,,,Sr,INF,5-8,R/R,14940,45,45,0.262,0.427,0.294,27,126,33,4,,37,,10,30,7,1,7,43,2,2,,7,,2,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7561009,14,Christian Labarbera,,,Fr,INF,6-0,R/R,14940,14,0,0.000,0.000,0.000,3,2,,,,0,,,,,,,2,,1,,4,,,
2022,2021-22,MBA,65,Bloomsburg,2,II,PSAC,7561010,15,Brandon Ernst,,,Jr,INF,6-3,R/R,14940,37,35,0.283,0.366,0.441,25,127,36,8,,56,4,10,16,1,1,1,11,6,1,,4,,6,
