season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,batting_GP,batting_GS,batting_AVG,batting_OBP,batting_SLG,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,OPP DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_GDP,RBI2out
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7335960,21,Liam Devine,,,Sr,P,-,,14940,14,9,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7337748,44,Jagger Nucci,,,So,UT,6-1,R/R,14940,32,27,0.217,0.245,0.330,7,106,23,5,2,35,1,12,3,1,,1,33,5,2,,2,,2,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7340096,18,Cody Shimp,,,Sr,P,-,,14940,11,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7340389,33,Kyle Caringi,,,Jr,P,-,,14940,15,8,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7343322,17,Christian Szablewski,,,Sr,OF,-,,14940,16,15,0.204,0.344,0.306,6,49,10,5,,15,,4,9,2,1,2,12,,,,,,,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7343680,5,Adam Shaffer,,,Jr,P,-,,14940,3,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7344821,14,Tripp Breen,,,Jr,P,-,,14940,13,10,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7345054,2,Pierce Hendershot,,,Jr,INF,-,,14940,32,28,0.174,0.250,0.272,7,92,16,6,,25,1,13,8,2,2,2,42,1,,,,,,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7345288,6,Branden Myers,,,Sr,SS,5-8,R/R,14940,36,35,0.205,0.273,0.252,8,127,26,4,1,32,,3,10,2,,7,31,1,2,2,6,,1,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7345502,26,Hitch Edwards,,,Jr,2B,-,,14940,6,1,0.200,0.333,0.200,,5,1,,,1,,,1,,,,3,,,,,,,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7346799,7,Jackson DeJohn,,,Jr,UT,6-3,R/R,14940,40,39,0.248,0.350,0.307,18,137,34,8,,42,,14,13,9,1,3,29,2,,,1,,1,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7347762,23,Jarett Cope,,,So,OF,-,,14940,10,4,0.125,0.176,0.313,1,16,2,1,1,5,,,1,,,,14,,,,,,,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7348705,45,Thomas Furmanski,,,So,SS,-,,14940,6,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7349426,12,Jack Putney,,,Jr,3B,6-1,L/R,14940,31,23,0.284,0.372,0.351,9,74,21,2,,26,1,9,9,2,1,1,22,,1,,,,,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7352768,34,Connor Mays,,,So,OF,-,,14940,10,8,0.241,0.353,0.345,4,29,7,3,,10,,2,5,,,,15,,,,,,,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7353226,3,Garrett Boldt,,,Sr,OF,-,,14940,34,34,0.314,0.408,0.463,22,121,38,6,3,56,2,14,15,5,1,5,20,5,1,1,2,,4,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7354406,13,Teddy Bishop,,,Jr,C,-,,14940,6,1,0.000,0.000,0.000,,8,,,,0,,,,,,,4,,,,,,,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7354504,24,Danny Manion,,,Jr,1B,-,,14940,37,36,0.261,0.366,0.429,14,119,31,8,,51,4,22,14,7,2,3,38,2,,,,,1,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7355033,22,Ben Berger,,,Jr,OF,-,,14940,44,43,0.209,0.358,0.237,17,139,29,2,1,33,,4,27,6,1,6,31,1,2,4,12,,1,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7358136,35,Jake Biscailuz,,,Jr,C,-,,14940,9,5,0.333,0.385,0.458,3,24,8,1,1,11,,5,,2,,1,2,2,,,,,1,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7583371,28,Matthew Williams,,,Sr,1B,-,,14940,44,44,0.227,0.291,0.320,16,172,39,11,1,55,1,23,13,3,1,,32,2,,,,1,2,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7585820,9,Brendyn Stillman,,,Sr,OF,-,,14940,19,14,0.255,0.311,0.473,9,55,14,3,,26,3,9,4,1,1,,21,,,,,,,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7585845,20,Luke Roggenburk,,,Fr,1b,6-4,R/R,14940,22,9,0.385,0.385,0.615,1,13,5,,,8,1,1,,,,,4,,,,,,,
2022,2021-22,MBA,596,St. Bonaventure,1,I,Atlantic 10,7585862,10,Thomas Grilli,,,Jr,ph/2b,-,,14940,30,28,0.290,0.356,0.364,14,107,31,4,2,39,,5,6,5,,2,19,1,1,1,2,,1,
