,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,pitching_G,pitching_APP,pitching_GS,pitching_ERA,pitching_IP,pitching_CG,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_SHO,pitching_BF,pitching_AB,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SFA,pitching_PI,pitching_GO,pitching_FO,pitching_W,pitching_L,pitching_SV,pitching_KL,pitching_PK
0,2024,2023-24,MBA,275,Harvard,1,I,Ivy League,8270181,40,Cole Cleary,,,Jr,P,6-1,R/R,15081,,16,,8.20,26.1,,34,29,24,22,25,,140,107,8,,,6,7,7,,6,2,2,2,570,22,26,2,2,2,10,2
1,2024,2023-24,MBA,275,Harvard,1,I,Ivy League,8275061,32,Sawyer Feller,,,Jr,C,6-2,R/R,15081,,1,,27.00,1.0,,2,3,3,3,1,,8,5,1,,,,,,,1,1,,,40,,2,,,,1,
2,2024,2023-24,MBA,275,Harvard,1,I,Ivy League,8263855,25,Callan Fang,,,So,OF,6-3,R/R,15081,,12,11,4.64,64.0,,56,36,33,20,83,,271,237,13,4,,8,4,7,2,3,3,5,2,"1,051",51,50,3,3,,20,
3,2024,2023-24,MBA,275,Harvard,1,I,Ivy League,8260304,31,Brian Dowling,,,So,P,6-6,L/L,15081,,10,5,11.29,36.2,,60,53,46,27,21,,205,167,12,2,,9,7,7,,4,4,1,3,656,44,39,1,3,,5,
4,2024,2023-24,MBA,275,Harvard,1,I,Ivy League,8262717,22,Tanner Smith,,,Jr,P,6-6,R/R,15081,,13,4,8.49,23.1,,20,24,22,30,29,,118,85,5,,1,2,6,,,6,4,1,2,497,22,14,2,2,1,13,
5,2024,2023-24,MBA,275,Harvard,1,I,Ivy League,8279048,28,Sean Matson,,,Jr,P,6-2,B/R,15081,,11,11,3.25,63.2,1,53,27,23,27,77,,272,234,8,1,1,4,8,2,,,,6,3,"1,070",43,65,3,3,,19,
6,2024,2023-24,MBA,275,Harvard,1,I,Ivy League,8284538,10,Nate Baxter,,,Jr,P,6-3,R/R,15081,,3,,34.71,2.1,,3,10,9,10,4,,24,10,2,,,,3,4,,5,4,,,98,2,1,,,,1,
7,2024,2023-24,MBA,275,Harvard,1,I,Ivy League,8282253,30,Uday Narottam,,,Sr,P,5-9,R/L,15081,,13,,14.09,15.1,,27,28,24,22,13,,102,74,5,,1,1,1,3,1,9,8,3,,370,13,17,,4,,7,
8,2024,2023-24,MBA,275,Harvard,1,I,Ivy League,8279891,17,Porter Jordheim,,,Sr,P,6-5,R/R,15081,,3,,27.00,1.0,,0,3,3,5,2,,9,3,,,,,,1,,4,1,,,41,1,,,,,1,
9,2024,2023-24,MBA,275,Harvard,1,I,Ivy League,8282439,13,Jordan Kang,,,So,INF,5-10,R/R,15081,,3,,4.15,4.1,,6,2,2,2,1,,21,16,1,,,,,1,,5,4,,2,75,2,9,,,,,
10,2024,2023-24,MBA,275,Harvard,1,I,Ivy League,8408718,24,Andrew Abler,,,Fr,P,6-1,R/R,15081,,9,1,4.70,15.1,,9,12,8,13,14,,69,53,4,1,,1,1,1,,8,3,2,,260,18,12,1,1,,7,
11,2024,2023-24,MBA,275,Harvard,1,I,Ivy League,8408719,36,Truman Pauley,,,Fr,P,6-2,R/R,15081,,15,4,6.14,44.0,,37,35,30,41,41,,210,163,12,,2,7,8,4,,8,6,1,1,870,32,51,1,4,1,10,
12,2024,2023-24,MBA,275,Harvard,1,I,Ivy League,8408720,42,Will Burns,,,Fr,P,6-1,R/R,15081,,14,3,6.75,34.2,,37,30,26,21,21,,169,136,12,,,4,5,6,,11,4,2,4,605,31,48,,4,,8,
