,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,pitching_G,pitching_APP,pitching_GS,pitching_ERA,pitching_IP,pitching_CG,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_SHO,pitching_BF,pitching_AB,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SFA,pitching_PI,pitching_GO,pitching_FO,pitching_W,pitching_L,pitching_SV,pitching_KL,pitching_PK
0,2024,2023-24,MBA,408,Mercyhurst,2,II,PSAC,8261986,20,Aiden Kelly,,,Jr,P,-,,15081,,9,8,2.80,45.0,2,42,17,14,20,46,2,194,167,5,2,,4,4,4,,,,2,1,649,42,37,2,3,,10,
1,2024,2023-24,MBA,408,Mercyhurst,2,II,PSAC,8259748,24,Matt Shepard,,,Sr,P,-,,15081,,3,2,10.13,5.1,,5,9,6,8,3,,28,16,1,,1,,1,,,,,1,3,57,7,5,,1,,,
2,2024,2023-24,MBA,408,Mercyhurst,2,II,PSAC,8276552,26,Ben Berdine,,,Jr,P,-,,15081,,14,2,5.70,30.0,,29,20,19,14,28,,136,113,4,1,,2,6,6,2,4,3,2,1,392,32,27,1,5,,12,
3,2024,2023-24,MBA,408,Mercyhurst,2,II,PSAC,8274201,21,Jacob Bazala,,,Jr,P,-,,15081,,16,3,3.47,36.1,,36,18,14,24,51,,169,140,2,,,2,4,2,1,8,4,1,2,470,25,27,4,2,3,16,
4,2024,2023-24,MBA,408,Mercyhurst,2,II,PSAC,8287103,23,Santino Campoli,,,So,P,-,,15081,,8,,12.79,12.2,,14,19,18,23,15,,80,47,7,,2,,9,5,,5,4,1,3,96,5,16,,,,8,
5,2024,2023-24,MBA,408,Mercyhurst,2,II,PSAC,8284968,4,Ryan Rafalski,,,Sr,P,-,,15081,,9,6,2.17,37.1,1,21,12,9,16,34,1,151,129,1,1,,2,3,5,1,2,,1,,539,52,20,5,1,,13,2
6,2024,2023-24,MBA,408,Mercyhurst,2,II,PSAC,8416309,28,Matthew Delvaux,,,Fr,P,-,,15081,,8,1,13.03,9.2,,17,16,14,14,12,,65,46,3,1,,1,4,4,,2,2,,1,161,7,8,,2,,3,
7,2024,2023-24,MBA,408,Mercyhurst,2,II,PSAC,8416310,29,John Bufford,,,Sr,P,-,,15081,,8,4,3.62,32.1,1,30,15,13,15,39,,141,122,6,,,1,3,1,,,,2,1,505,33,22,2,1,,12,
8,2024,2023-24,MBA,408,Mercyhurst,2,II,PSAC,8416314,32,Nolan Kirsch,,,Fr,P,-,,15081,,8,3,12.38,16.0,,22,27,22,16,11,,95,69,1,,,2,2,6,,2,1,3,1,238,19,16,1,1,,5,
9,2024,2023-24,MBA,408,Mercyhurst,2,II,PSAC,8416292,3,Corbin Foy,,,Sr,P,-,,15081,,12,12,2.08,56.1,2,30,18,13,27,67,1,238,201,3,3,,2,5,8,,,,1,1,726,45,55,5,1,,26,
10,2024,2023-24,MBA,408,Mercyhurst,2,II,PSAC,8416322,42,Dylan Skidmore,,,Fr,UT,-,,15081,,4,,45.00,3.0,,9,15,15,4,,,26,17,2,1,,,,5,,1,1,,,35,5,3,,,,,
11,2024,2023-24,MBA,408,Mercyhurst,2,II,PSAC,8416325,47,Joseph Helms,,,Fr,P,-,,15081,,1,,0.00,1.0,,0,,,3,2,,6,3,,,,,,,,,,,,,,1,,,,1,
12,2024,2023-24,MBA,408,Mercyhurst,2,II,PSAC,8416326,48,Jaden Fabian,,,Fr,P,-,,15081,,2,,6.00,3.0,,1,2,2,3,3,,13,10,,,,1,1,,,,,,,43,2,4,,,,,
13,2024,2023-24,MBA,408,Mercyhurst,2,II,PSAC,8416294,7,Sean Hayes,,,Sr,P,-,,15081,,4,,2.08,4.1,,5,1,1,2,3,,21,18,,,,1,,1,,,,,,48,5,5,,,,,
14,2024,2023-24,MBA,408,Mercyhurst,2,II,PSAC,8416316,34,Jack Cecil,,,Fr,UT,-,,15081,,8,,4.97,12.2,,10,7,7,10,10,,62,45,2,,,2,3,5,,,,,1,122,13,13,1,2,,2,
