,player_jersey_number,player_full_name,player_class,player_position,player_height,player_bats_throws,pitching_G,pitching_APP,pitching_GS,pitching_ERA,pitching_IP,pitching_CG,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_SHO,pitching_BF,pitching_AB,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SFA,pitching_PI,pitching_GO,pitching_FO,pitching_W,pitching_L,pitching_SV,pitching_KL,pitching_PK,player_id,player_last_name,player_first_name,stat_id,season,season_name,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,sport_id
0,28,Caden Capomaccio,So,P,6-1,R/R,,15,,4.26,19.0,,17,9,9,12,26,,85,69,4.0,,,1.0,4,4,,8.0,2.0,,,319,17,9,1.0,,,7,,8259454,Capomaccio,Caden,15081,2024,2023-24,428,Minnesota,1,I,Big Ten,MBA
1,35,Connor Wietgrefe,Jr,P,6-2,L/L,,15,13.0,2.77,78.0,1.0,81,35,24,26,74,,344,298,10.0,1.0,1.0,1.0,6,9,,3.0,3.0,6.0,3.0,"1,160",86,61,8.0,4.0,,26,2.0,8275001,Wietgrefe,Connor,15081,2024,2023-24,428,Minnesota,1,I,Big Ten,MBA
2,18,Will Semb,Jr,P,6-1,R/R,,14,14.0,7.54,65.2,,83,66,55,32,73,,326,276,14.0,2.0,,11.0,14,10,,,,2.0,6.0,"1,197",54,65,1.0,5.0,,15,,8270162,Semb,Will,15081,2024,2023-24,428,Minnesota,1,I,Big Ten,MBA
3,30,Seth Clausen,Jr,P,6-1,R/R,,18,,3.75,24.0,,30,13,10,20,31,,120,99,4.0,1.0,,1.0,5,1,1.0,23.0,12.0,,,412,18,18,1.0,2.0,1.0,8,,8267101,Clausen,Seth,15081,2024,2023-24,428,Minnesota,1,I,Big Ten,MBA
4,47,Noah DeLuga,Sr,P,6-0,L/L,,6,,7.2,5.0,,6,5,4,7,5,,29,20,2.0,,,,4,1,,5.0,2.0,,1.0,106,6,4,,,,1,,8274093,DeLuga,Noah,15081,2024,2023-24,428,Minnesota,1,I,Big Ten,MBA
5,35,Sam Kennedy,So,P,6-1,R/R,,8,1.0,2.45,14.2,,11,5,4,8,18,,64,52,,1.0,,,1,2,,9.0,2.0,1.0,1.0,247,7,17,2.0,,,5,,8274146,Kennedy,Sam,15081,2024,2023-24,428,Minnesota,1,I,Big Ten,MBA
6,29,Tucker Novotny,Jr,P,6-5,R/L,,15,14.0,6.75,52.0,,62,47,39,26,62,,253,210,19.0,2.0,,7.0,7,11,,,,4.0,2.0,850,46,42,2.0,5.0,,15,3.0,8283006,Novotny,Tucker,15081,2024,2023-24,428,Minnesota,1,I,Big Ten,MBA
7,54,Will Whelan,Fr,P,6-2,L/L,,17,,7.23,18.2,,13,15,15,19,26,,91,66,2.0,,,3.0,6,5,,12.0,4.0,,1.0,410,12,15,1.0,,1.0,9,1.0,8414693,Whelan,Will,15081,2024,2023-24,428,Minnesota,1,I,Big Ten,MBA
8,40,Tyler Hemmesch,Fr,P,6-1,R/R,,15,1.0,4.0,27.0,,19,16,12,14,25,,119,93,3.0,,1.0,2.0,4,8,,12.0,8.0,2.0,2.0,433,24,26,1.0,,,4,,8414653,Hemmesch,Tyler,15081,2024,2023-24,428,Minnesota,1,I,Big Ten,MBA
9,39,Nick Argento,So,P,6-6,R/R,,6,3.0,3.0,12.0,,12,12,4,6,10,,59,46,,,,1.0,2,6,,,,1.0,,218,14,8,,1.0,,2,,8414698,Argento,Nick,15081,2024,2023-24,428,Minnesota,1,I,Big Ten,MBA
10,51,Justin Thorsteinson,Jr,UT,6-4,L/L,,18,,3.38,37.1,,35,17,14,27,33,,174,136,6.0,,,4.0,2,5,,16.0,10.0,4.0,2.0,566,32,39,4.0,3.0,1.0,8,,8414975,Thorsteinson,Justin,15081,2024,2023-24,428,Minnesota,1,I,Big Ten,MBA
11,20,Kyle Remington,Fr,P,6-0,L/R,,20,,5.74,42.1,,52,27,27,11,37,,193,174,10.0,1.0,,3.0,4,5,1.0,23.0,4.0,1.0,2.0,645,43,42,,1.0,1.0,9,,8414660,Remington,Kyle,15081,2024,2023-24,428,Minnesota,1,I,Big Ten,MBA
12,21,Tommy Gross,Sr,P,6-2,R/R,,17,2.0,9.24,25.1,,26,28,26,28,24,,141,99,6.0,1.0,1.0,1.0,7,11,1.0,14.0,6.0,,3.0,488,28,22,4.0,2.0,1.0,5,,8414921,Gross,Tommy,15081,2024,2023-24,428,Minnesota,1,I,Big Ten,MBA
