,season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,pitching_G,pitching_APP,pitching_GS,pitching_ERA,pitching_IP,pitching_CG,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_SHO,pitching_BF,pitching_AB,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SFA,pitching_PI,pitching_GO,pitching_FO,pitching_W,pitching_L,pitching_SV,pitching_KL,pitching_PK
0,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8268806,17,Mitchell Gross,,,Jr,P,5-10,L/L,15081,,19,6,3.34,70.0,1,65,28,26,18,65,,288,261,12,1,,9,1,4,3,13,5,3,1,966,67,65,3,5,2,22,1
1,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8277799,27,Ty Fisher,,,Sr,P,6-4,L/L,15081,,19,16,5.10,84.2,1,90,56,48,26,69,,386,341,14,1,1,11,5,12,1,2,,4,3,"1,226",90,89,7,5,,29,
2,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8262075,30,Ben Johnson,,,Sr,P,6-3,R/R,15081,,20,9,5.80,59.0,,69,49,38,26,57,,274,229,12,1,,7,7,10,,11,3,3,5,932,49,61,5,3,2,19,
3,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8264519,37,Cameron Oliu,,,Sr,P,5-10,R/R,15081,,14,2,11.77,13.0,,20,17,17,9,12,,72,58,3,,,6,2,4,,11,7,1,,265,10,15,1,,,5,
4,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8261398,46,Brett Zerbel,,,Jr,P,5-11,L/L,15081,,9,,8.22,7.2,,9,7,7,2,8,,36,29,1,,,2,,5,,5,1,,,134,4,8,,,,1,
5,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8277316,25,Ga'Von Wray,,,Sr,P,6-4,R/R,15081,,17,6,6.66,24.1,,37,22,18,14,10,,121,103,5,2,,6,1,1,,10,5,2,1,449,37,21,1,1,1,4,
6,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8262945,99,Brady Pendley,,,So,P,6-1,R/R,15081,,6,,4.35,10.1,,11,7,5,7,8,,51,40,2,,,1,1,2,,2,1,1,1,183,15,7,,,,5,
7,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8427626,44,Thomas Higgins,,,So,P,6-1,R/R,15081,,11,11,3.74,53.0,,53,29,22,17,40,,235,203,10,,2,8,3,7,,,,6,,907,70,43,5,2,,10,
8,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8427656,23,Landry Mead,,,Jr,UT,6-0,R/R,15081,,3,,54.00,0.2,,4,4,4,3,1,,9,6,1,,,2,1,,,6,4,,,38,1,,,,,,
9,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8427680,45,Porter Buursema,,,Fr,P,6-1,R/R,15081,,6,6,5.68,12.2,,11,12,8,13,14,,62,45,2,,,,7,3,,,,1,,264,13,7,1,,,4,
10,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8427627,47,Jake Martin,,,Jr,P,6-5,R/R,15081,,20,,6.21,33.1,,45,28,23,6,22,,151,134,10,,,2,1,4,,17,9,6,1,554,46,26,1,1,3,10,1
11,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8427643,11,Joey White,,,So,P,5-10,R/R,15081,,29,1,4.43,44.2,,44,29,22,12,35,,199,172,12,1,1,3,2,9,1,26,13,4,2,675,53,38,3,3,1,12,
12,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8427671,41,Garrett Mackowiak,,,Fr,P,5-9,L/L,15081,,24,,6.75,18.2,,19,21,14,12,22,,94,74,5,,,1,8,3,,16,6,3,2,350,18,17,1,1,,2,
13,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8427650,18,Davis Smith,,,Jr,P,6-6,R/R,15081,,11,,11.40,15.0,,19,21,19,19,12,,88,63,4,,1,1,4,5,2,13,9,,1,268,19,13,2,2,,8,
14,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8427664,33,Sawyer Osborne,,,Jr,P,6-1,R/R,15081,,6,,9.53,5.2,,5,8,6,3,2,,28,22,1,,,1,1,2,,5,2,,1,114,7,8,,,,1,
15,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8427666,34,Jacob Phillips,,,Jr,P,6-0,L/L,15081,,20,2,4.79,47.0,,40,29,25,22,41,,203,167,4,1,,6,3,7,,14,10,4,3,749,40,53,3,3,4,12,
16,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8427630,00,J.D. Rediger,,,Fr,P,6-0,R/R,15081,,1,,0.00,0.1,,0,,,0,,,1,1,,,,,,,,2,,,,5,,1,,,,,
17,2024,2023-24,MBA,253,Ga. Southern,1,I,Sun Belt,8427632,2,Rhett Hammontree,,,Jr,INF,6-1,R/R,15081,,1,,0.00,0.1,,0,,,0,1,,1,1,,,,,,,,,,,,5,,,,,,,
