season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,pitching_G,pitching_APP,pitching_GS,pitching_ERA,pitching_IP,pitching_CG,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_SHO,pitching_BF,pitching_AB,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SFA,pitching_PI,pitching_GO,pitching_FO,pitching_W,pitching_L,pitching_SV,pitching_KL,pitching_PK
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8268084,11,Zach Kuseske,,,Jr,P,6-1,R/R,15081,,11,,9.70,21.1,,31,29,23,9,31,,105,96,7,,,7,3,,,9,2,,,196,11,20,3,3,2,7,
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8270025,33,Ryan Wattermann,,,So,P,6-2,L/L,15081,,2,,37.80,1.2,,7,9,7,3,2,,16,12,1,1,,,2,1,,,,,,66,2,,,,,,1
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8270967,28,Ethan Cole,,,Jr,INF,6-2,R/R,15081,,3,,2.08,4.1,,3,3,1,1,7,,20,17,1,,,,1,2,1,3,,,,13,4,2,,1,1,1,
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8272087,6,Blake Eiden,,,So,P,6-4,R/R,15081,,6,3,15.85,15.1,,16,32,27,30,12,,98,60,2,,,3,8,7,,1,1,1,,76,17,14,,1,,4,
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8278487,24,Henry Wilkinson,,,So,P,6-4,R/R,15081,,10,10,5.13,54.1,,64,43,31,15,50,,255,225,13,2,,3,6,11,,,,2,2,287,45,61,3,4,,16,2
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8278764,26,Caden Klebba,,,So,C,5-10,R/R,15081,,9,5,4.55,29.2,,32,22,15,14,20,,138,116,6,1,,3,2,4,,9,2,3,1,259,30,35,1,2,,7,
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8280487,10,Nathan Rosenberg,,,Jr,C,6-2,R/R,15081,,6,,2.08,4.1,,7,3,1,5,6,,26,19,1,,,,,1,,2,2,,1,36,1,6,,,,2,
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8285949,9,Mason Thiel,,,Sr,P,6-4,R/R,15081,,10,2,9.00,17.0,,22,18,17,9,13,,83,64,3,2,,2,3,5,1,3,1,1,4,136,15,18,,1,,4,1
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8286297,8,Dylan Wilson,,,Sr,P,6-1,L/R,15081,,15,,6.91,14.1,,19,12,11,8,8,,72,57,4,,,3,3,5,,12,5,,2,146,9,22,,,,4,
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8287740,20,Conor Nygard,,,Sr,P,6-1,R/L,15081,,19,,5.24,22.1,,22,15,13,11,14,,98,80,3,1,,2,4,4,1,25,11,1,2,116,28,18,1,1,2,7,
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8426322,2,Isaac Benesh,,,Sr,P,6-1,L/L,15081,,11,1,8.83,17.1,,29,21,17,5,14,,93,79,6,,,2,,5,,8,7,1,3,221,10,27,,1,,4,
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8426331,13,Hayden Brown,,,Sr,P,6-3,-/L,15081,,12,,7.71,11.2,,16,12,10,14,13,,69,50,3,1,,2,1,3,,11,7,1,1,120,10,10,1,1,,2,
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8426332,14,Joe Gizzi,,,Fr,P,6-0,R/R,15081,,10,5,7.04,30.2,,38,30,24,22,26,,152,118,6,1,2,2,5,6,,6,2,2,4,139,33,23,1,5,,8,1
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8426336,17,Sam Kliber,,,Fr,INF,6-0,L/R,15081,,8,2,14.00,9.0,,14,14,14,4,4,,43,34,4,1,,2,4,2,,4,3,1,2,134,7,12,1,1,,2,
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8426339,21,Chad Fox,,,Sr,P,6-4,L/R,15081,,10,10,6.16,49.2,1,64,44,34,20,39,,232,201,12,,,5,10,6,1,,,2,3,244,38,58,,7,,12,
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8426350,27,Zak Brown,,,Fr,P,5-10,R/L,15081,,10,1,5.94,16.2,,18,14,11,14,12,,90,68,3,,,2,5,6,,8,6,1,,230,15,22,2,1,,4,
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8426352,31,Brayden Buttweiler,,,Sr,P,6-2,L/L,15081,,10,10,5.65,57.1,2,63,43,36,24,47,,260,230,20,1,,8,7,3,,,,3,,261,63,48,5,2,,15,1
2024,2023-24,MBA,427,Minn. Duluth,2,II,NSIC,8426363,35,Ryan Wilkinson,,,So,P,6-5,R/R,15081,,2,,20.25,1.1,,2,4,3,4,2,,12,6,,,,,2,1,,,,1,,47,2,,,,,1,
