season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,pitching_G,pitching_APP,pitching_GS,pitching_ERA,pitching_IP,pitching_CG,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_SHO,pitching_BF,pitching_AB,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SFA,pitching_PI,pitching_GO,pitching_FO,pitching_W,pitching_L,pitching_SV,pitching_KL,pitching_PK
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8261131,11,Casey Coates,,,Sr,P,-,,15081,,14,11,7.81,55.1,1,70,57,48,46,37,,281,225,13,2,,5,11,6,,,,1,3,175,68,44,2,4,,9,1
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8263533,16,Jaiden Proper,,,Sr,OF,-,,15081,,13,6,5.23,41.1,,40,26,24,29,41,,193,155,3,4,1,3,4,4,1,5,1,2,3,160,41,36,3,4,1,13,
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8267227,28,D. Davis,,,Fr,p,-,,15081,,9,,9.39,7.2,,8,9,8,14,9,,46,29,,1,,1,4,3,,2,2,,,92,5,7,,,,3,
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8268994,17,Jamie Lawrence,,,Jr,p,-,,15081,,10,6,11.67,27.0,,43,35,35,21,13,,147,123,8,1,,4,2,2,1,3,1,1,,76,31,36,3,1,,7,
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8273797,12,Saivion Mohammed,,,Jr,P,-,,15081,,14,9,8.24,51.1,1,61,55,47,40,33,,260,199,16,2,,5,3,14,2,2,1,3,4,85,60,47,3,3,1,9,1
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8278966,10,C. Solomon,,,Fr,p,-,,15081,,12,1,3.20,19.2,,16,11,7,15,19,,89,69,1,,,,4,3,,7,3,1,1,133,18,16,1,1,,10,
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8279147,28,Brian Urquart,,,So,p,-,,15081,,12,2,11.03,23.2,,38,36,29,21,19,,134,107,3,4,,,2,4,,3,2,,2,133,26,21,,1,,5,1
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8280528,8,Mykal Poindexter,,,Sr,OF,-,,15081,,6,,5.68,6.1,,5,4,4,4,4,,27,23,2,,,,,,,5,3,,,10,7,6,,,,2,
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8283211,26,Vincent Latimer,,,Sr,P,-,,15081,,6,3,3.86,14.0,,10,12,6,15,7,,67,48,3,,,,3,1,,3,,3,,,23,10,1,2,,1,2
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8284521,11,Jalen Hardiman,,,Jr,1B,-,,15081,,15,,5.65,28.2,,29,21,18,18,15,,135,111,4,,2,1,2,3,,4,,,3,119,28,38,2,3,,3,2
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8503286,30,Jackson Weir,,,Fr,p,-,,15081,,6,,14.40,5.0,,11,9,8,7,2,,34,26,2,,,1,1,1,,6,6,,,,4,6,,,,,
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8503289,38,Amir Faulkner,,,Fr,p,-,,15081,,2,,63.00,1.0,,4,7,7,3,,,11,8,,,,1,1,,,,,,,,,3,,,,,
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8593211,19,N. Grayson,,,Fr,p,-,,15081,,4,2,4.91,11.0,,13,8,6,7,9,,52,40,3,,1,1,,3,,,,1,1,117,7,12,,2,,2,1
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8682121,35,C. Lacorte,,,N/A,p,-,,15081,,6,1,13.50,6.0,,7,11,9,7,6,,35,25,,,,1,2,3,,,,,,34,3,7,,,,1,
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8684084,0,A. Henson,,,N/A,p,-,,15081,,9,1,15.09,11.1,,13,27,19,15,7,,72,47,1,,4,3,,6,,7,5,3,1,107,11,15,,1,,6,
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8684085,0,A. Lawrence,,,N/A,p,-,,15081,,2,2,3.00,9.0,,11,3,3,2,,,37,33,1,,,1,,1,,,,1,,104,12,11,1,1,,,
2024,2023-24,MBA,445,Morehouse,2,II,SIAC,8685098,0,J. Muhammed,,,N/A,p,-,,15081,,6,,14.29,5.2,,10,9,9,6,3,,34,26,1,,1,2,5,1,,3,1,,1,36,4,9,,,,,
