season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-02-14T00:00:00-05:00,6300513,596477,8886880,10,Ranse Radtke,PH/LF,1,0,0,3,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0.0,"Whataburger Field (Corpus Christi, TX)",0,596477,596563,Abilene Christian Wildcats,Illinois Fighting Illini
2025,MBA,2025-02-14T00:00:00-05:00,6300513,596563,9110647,12,Payton Hutchings,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.667,1.2,3,4,4,3,1,11,1,0,0,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Whataburger Field (Corpus Christi, TX)",0,596477,596563,Abilene Christian Wildcats,Illinois Fighting Illini
2025,MBA,2025-02-14T00:00:00-05:00,6300513,596563,9110652,13,Tyler Schmitt,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.332,3.1,2,1,1,4,2,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Whataburger Field (Corpus Christi, TX)",0,596477,596563,Abilene Christian Wildcats,Illinois Fighting Illini
2025,MBA,2025-02-14T00:00:00-05:00,6300513,596477,9085516,14,Diego Cardenas,DH,1,1,2,4,2,1,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Whataburger Field (Corpus Christi, TX)",0,596477,596563,Abilene Christian Wildcats,Illinois Fighting Illini
2025,MBA,2025-02-14T00:00:00-05:00,6300513,596563,9110675,19,Greg LaChance,DH,1,1,0,4,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Whataburger Field (Corpus Christi, TX)",0,596477,596563,Abilene Christian Wildcats,Illinois Fighting Illini
2025,MBA,2025-02-14T00:00:00-05:00,6300513,596477,8884250,19,Holden Rook,PR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Whataburger Field (Corpus Christi, TX)",0,596477,596563,Abilene Christian Wildcats,Illinois Fighting Illini
2025,MBA,2025-02-14T00:00:00-05:00,6300513,596563,9110698,2,Jack Zebig,SS,1,1,1,4,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,"Whataburger Field (Corpus Christi, TX)",0,596477,596563,Abilene Christian Wildcats,Illinois Fighting Illini
2025,MBA,2025-02-14T00:00:00-05:00,6300513,596477,8874812,2,Zandt Payne,SS,1,1,1,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,0,0,0,0,0,1,0,0.0,"Whataburger Field (Corpus Christi, TX)",0,596477,596563,Abilene Christian Wildcats,Illinois Fighting Illini
2025,MBA,2025-02-14T00:00:00-05:00,6300513,596477,9085520,22,Dominick Reid,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.332,3.1,5,5,5,3,6,19,2,1,0,1,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Whataburger Field (Corpus Christi, TX)",0,596477,596563,Abilene Christian Wildcats,Illinois Fighting Illini
2025,MBA,2025-02-14T00:00:00-05:00,6300513,596563,8897080,25,Cameron Chee-Aloy,RF,1,1,1,5,2,1,0,3,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0.0,"Whataburger Field (Corpus Christi, TX)",0,596477,596563,Abilene Christian Wildcats,Illinois Fighting Illini
